Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Why Do Fools Fall in Love?,http://www.boxofficemojo.com/movies/?id=whydofoolsfallinlove.htm,08/28/1998,R,116,3946382,1377,12461773,null,null
Why Don't You Play in Hell,http://www.boxofficemojo.com/movies/?id=whydontyouplayinhell.htm,11/07/2014,Unrated,129,5060,11,28534,1200000,1228534
Why Me?,http://www.boxofficemojo.com/movies/?id=whyme.htm,04/20/1990,R,87,49933,113,83882,null,null
Why Stop Now?,http://www.boxofficemojo.com/movies/?id=whystopnow.htm,08/17/2012,R,88,1641,3,2432,null,null
Why We Fight,http://www.boxofficemojo.com/movies/?id=whywefight.htm,01/20/2006,PG-13,99,53571,64,1439972,null,null
Why Would I Lie?,http://www.boxofficemojo.com/movies/?id=whywouldilie.htm,08/08/1980,PG,105,52473,null,1175855,null,null
The Wicked Lady,http://www.boxofficemojo.com/movies/?id=wickedlady.htm,1983,R,98,null,null,724912,null,null
The Wicker Man,http://www.boxofficemojo.com/movies/?id=wickerman.htm,09/01/2006,PG-13,106,9610204,2784,23649127,15105946,38755073
The Wicker Man - Final Cut,http://www.boxofficemojo.com/movies/?id=wickermanfinal.htm,09/27/2013,R,94,5493,14,60891,null,null
Wicker Park,http://www.boxofficemojo.com/movies/?id=wickerpark.htm,09/03/2004,PG-13,115,5467281,2598,13001257,8567561,21568818
Wide Awake,http://www.boxofficemojo.com/movies/?id=wideawake.htm,03/20/1998,PG,88,95875,43,282175,null,null
Wide Sargasso Sea,http://www.boxofficemojo.com/movies/?id=widesargassosea.htm,04/16/1993,NC-17,99,33806,1,1614784,null,null
The Widow of St. Pierre,http://www.boxofficemojo.com/movies/?id=widowofstpierre.htm,03/02/2001,R,112,31702,83,3074234,4000000,7074234
Widows' Peak,http://www.boxofficemojo.com/movies/?id=widowspeak.htm,05/13/1994,PG,101,133084,193,6243722,null,null
Wigstock:The Movie,http://www.boxofficemojo.com/movies/?id=wigstockthemovie.htm,06/09/1995,R,85,35563,30,686152,null,null
Wilbur Wants to Kill Himself,http://www.boxofficemojo.com/movies/?id=wilburwantstokillhimself.htm,03/12/2004,R,111,13747,16,235294,1311211,1546505
The Wild,http://www.boxofficemojo.com/movies/?id=wild.htm,04/14/2006,G,94,9684809,2854,37384046,64954469,102338515
Wild (2014),http://www.boxofficemojo.com/movies/?id=wild2014.htm,12/03/2014,R,115,4113752,1361,37849583,14621185,52470768
Wild America,http://www.boxofficemojo.com/movies/?id=wildamerica.htm,07/04/1997,PG,102,1810586,1812,7342923,null,null
Wild at Heart,http://www.boxofficemojo.com/movies/?id=wildatheart.htm,08/17/1990,R,124,1858379,625,14560247,null,null
Wild Bill,http://www.boxofficemojo.com/movies/?id=wildbill.htm,12/01/1995,R,115,987515,775,2193982,null,null
The Wild Bunch,http://www.boxofficemojo.com/movies/?id=wildbunch.htm,06/18/1969,R,134,null,null,638641,null,null
The Wild Bunch (re-issue),http://www.boxofficemojo.com/movies/?id=wildbunch95.htm,03/03/1995,R,145,null,null,638641,null,null
Wild Canaries,http://www.boxofficemojo.com/movies/?id=wildcanaries.htm,02/25/2015,Unrated,96,2683,4,9794,null,null
Wild Card,http://www.boxofficemojo.com/movies/?id=wildcard.htm,TBD,R,N/A,null,null,null,null,null
Wild Child,http://www.boxofficemojo.com/movies/?id=wildchild.htm,TBD,PG-13,98,null,null,n/a,21972336,21972336
The Wild Child (re-issue),http://www.boxofficemojo.com/movies/?id=wildchild08.htm,11/07/2008,G,83,6680,2,65051,null,null
Wild Geese II,http://www.boxofficemojo.com/movies/?id=wildgeese2.htm,10/18/1985,R,125,null,null,69342,null,null
Wild Grass,http://www.boxofficemojo.com/movies/?id=wildgrass.htm,06/25/2010,PG,104,39162,23,403952,4197398,4601350
Wild Hearts Can't Be Broken,http://www.boxofficemojo.com/movies/?id=wildheartscantbebroken.htm,05/24/1991,G,89,2710416,1662,7294835,null,null
Wild Hogs,http://www.boxofficemojo.com/movies/?id=wildhogs.htm,03/02/2007,PG-13,99,39699023,3401,168273550,85351877,253625427
Wild Horse Wild Ride,http://www.boxofficemojo.com/movies/?id=wildhorsewildride.htm,08/24/2012,PG,106,3610,21,111205,null,null
The Wild Hunt,http://www.boxofficemojo.com/movies/?id=wildhunt.htm,TBD,Not Yet Rated,92,null,null,null,null,null
The Wild Life,http://www.boxofficemojo.com/movies/?id=wildlife.htm,09/28/1984,R,96,4001400,1142,11020375,null,null
Wild Man Blues,http://www.boxofficemojo.com/movies/?id=wildmanblues.htm,04/17/1998,PG,105,54458,25,533759,null,null
Wild Orchid,http://www.boxofficemojo.com/movies/?id=wildorchid.htm,04/27/1990,R,112,2622637,822,11060485,null,null
Wild Orchid 2,http://www.boxofficemojo.com/movies/?id=wildorchid2.htm,05/08/1992,R,108,323288,266,573904,null,null
The Wild Pair,http://www.boxofficemojo.com/movies/?id=wildpair.htm,12/11/1987,R,88,null,null,null,null,null
The Wild Parrots of Telegraph Hill,http://www.boxofficemojo.com/movies/?id=wildparrots.htm,02/09/2005,G,83,36731,67,3058527,160182,3218709
Wild Reeds,http://www.boxofficemojo.com/movies/?id=wildreeds.htm,05/10/1995,Unrated,110,null,null,807775,null,null
Wild Safari 3D (IMAX),http://www.boxofficemojo.com/movies/?id=wildsafari.htm,04/08/2005,Unrated,45,null,21,16621530,17635605,34257135
Wild Side,http://www.boxofficemojo.com/movies/?id=wildside.htm,06/10/2005,Unrated,93,4268,2,15355,null,null
Wild Strawberries,http://www.boxofficemojo.com/movies/?id=wildstrawberries.htm,06/22/1959,Unrated,91,null,null,null,null,null
Wild Style:30th Anniversary,http://www.boxofficemojo.com/movies/?id=wildstyle30th.htm,09/27/2013,R,82,null,null,null,null,null
Wild Tales,http://www.boxofficemojo.com/movies/?id=wildtales.htm,02/20/2015,R,122,85100,122,2216000,23900000,26116000
Wild Target,http://www.boxofficemojo.com/movies/?id=wildtarget.htm,10/29/2010,PG-13,98,23174,13,108589,3344454,3453043
Wild Things,http://www.boxofficemojo.com/movies/?id=wildthings.htm,03/20/1998,R,108,9622444,2177,30147739,null,null
The Wild Thornberrys,http://www.boxofficemojo.com/movies/?id=wildthornberrys.htm,12/20/2002,PG,79,6013847,3012,40108697,20586040,60694737
Wild Tigers I Have Known,http://www.boxofficemojo.com/movies/?id=wildtigersihaveknown.htm,02/28/2007,Unrated,81,4515,1,9946,9405,19351
Wild West,http://www.boxofficemojo.com/movies/?id=wildwest.htm,11/05/1993,R,85,null,null,24079,null,null
Wild Wild West,http://www.boxofficemojo.com/movies/?id=wildwildwest.htm,06/30/1999,PG-13,107,27687484,3342,113804681,108300000,222104681
The Wildcat,http://www.boxofficemojo.com/movies/?id=wildcat.htm,1921,Unrated,82,null,null,null,null,null
Wildcats,http://www.boxofficemojo.com/movies/?id=wildcats.htm,02/14/1986,R,107,5472905,1062,26285544,null,null
Wilde,http://www.boxofficemojo.com/movies/?id=wilde.htm,05/01/1998,R,118,69424,7,2158775,null,null
Wilder Napalm,http://www.boxofficemojo.com/movies/?id=wildernapalm.htm,08/20/1993,PG-13,109,12078,35,84859,null,null
The Wildest Dream,http://www.boxofficemojo.com/movies/?id=wildestdream.htm,08/06/2010,PG,94,67848,21,898137,null,null
Wildfire,http://www.boxofficemojo.com/movies/?id=wildfire.htm,06/18/1999,Unknown,N/A,26227,6,858356,null,null
Wildfire:Feel the Heat (IMAX),http://www.boxofficemojo.com/movies/?id=wildfireimax.htm,03/12/1999,Unrated,40,32819,7,2040635,null,null
Will It Snow for Christmas?,http://www.boxofficemojo.com/movies/?id=willitsnowforchristmas.htm,12/17/1997,Unrated,90,10786,2,51950,null,null
Will You Still Love Me Tomorrow,http://www.boxofficemojo.com/movies/?id=willyoustilllovemetomorrow.htm,01/17/2014,Unrated,104,2969,3,6694,null,null
Willard,http://www.boxofficemojo.com/movies/?id=willard.htm,03/14/2003,PG-13,100,4010593,1762,6886089,1660577,8546666
William Eggleston in the Real World,http://www.boxofficemojo.com/movies/?id=williamegglestonintherealworld.htm,08/31/2005,Unrated,87,6820,2,44435,null,null
William Kunstler:Disturbing the Universe,http://www.boxofficemojo.com/movies/?id=williamkunstler.htm,11/13/2009,Unrated,85,10322,6,46078,null,null
William S. Burroughs:A Man Within,http://www.boxofficemojo.com/movies/?id=williamburroughsmanwithin.htm,11/17/2010,Unrated,90,6510,4,46380,null,null
William Shakespeare's The Merchant of Venice,http://www.boxofficemojo.com/movies/?id=merchantofvenice.htm,12/29/2004,R,138,69868,107,3765585,17652140,21417725
Willie & Phil,http://www.boxofficemojo.com/movies/?id=willieandphil.htm,1980,R,115,null,null,4400000,null,null
Willow,http://www.boxofficemojo.com/movies/?id=willow.htm,05/20/1988,PG,126,8300169,1209,57269863,null,null
