Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Miracle on 34th Street,http://www.boxofficemojo.com/movies/?id=miracleon34thstreet47.htm,05/02/1947,Unrated,96,null,null,null,null,null
Miracle on 34th Street (1994),http://www.boxofficemojo.com/movies/?id=miracleon34thstreet.htm,11/18/1994,PG,114,2753208,1255,17320136,28944248,46264384
The Miracle Woman,http://www.boxofficemojo.com/movies/?id=miraclewoman.htm,08/07/1931,Unrated,90,null,null,null,null,null
The Miracle Worker,http://www.boxofficemojo.com/movies/?id=miracleworker.htm,07/28/1962,Unrated,106,null,null,null,null,null
Mirage,http://www.boxofficemojo.com/movies/?id=mirage.htm,03/17/2006,Unrated,103,1511,1,2241,null,null
Miral,http://www.boxofficemojo.com/movies/?id=miral.htm,03/25/2011,PG-13,114,66244,29,373420,527227,900647
The Mirror,http://www.boxofficemojo.com/movies/?id=mirror.htm,09/18/1998,Unrated,94,null,null,69915,null,null
The Mirror Crack'd,http://www.boxofficemojo.com/movies/?id=mirrorcrackd.htm,12/19/1980,PG,105,null,null,11000000,null,null
The Mirror Has Two Faces,http://www.boxofficemojo.com/movies/?id=mirrorhastwofaces.htm,11/15/1996,PG-13,127,12210868,2489,41083864,null,null
Mirror Mirror,http://www.boxofficemojo.com/movies/?id=untitledsnowwhite.htm,03/30/2012,PG,106,18132085,3618,64935167,118083355,183018522
MirrorMask,http://www.boxofficemojo.com/movies/?id=mirrormask.htm,09/30/2005,PG,101,126449,42,866999,null,null
Mirrors,http://www.boxofficemojo.com/movies/?id=mirrors.htm,08/15/2008,R,110,11161074,2664,30691439,46797168,77488607
Mischief,http://www.boxofficemojo.com/movies/?id=mischief.htm,02/08/1985,R,93,2618460,1221,8692426,null,null
Misconceptions,http://www.boxofficemojo.com/movies/?id=misconceptions.htm,01/22/2010,Unrated,95,3796,2,6892,null,null
Misery,http://www.boxofficemojo.com/movies/?id=misery.htm,11/30/1990,R,108,10076834,1370,61276872,null,null
Misery Loves Comedy,http://www.boxofficemojo.com/movies/?id=miserylovescomedy.htm,04/24/2015,Not Yet Rated,94,null,null,null,null,null
Mishima:A Life in Four Chapters,http://www.boxofficemojo.com/movies/?id=mishima.htm,09/13/1985,R,121,null,14,437547,65211,502758
Miss Conception,http://www.boxofficemojo.com/movies/?id=missconception.htm,06/06/2008,R,94,1342,3,2134,226794,228928
Miss Congeniality,http://www.boxofficemojo.com/movies/?id=misscongeniality.htm,12/22/2000,PG-13,109,10046534,2668,106807667,105935053,212742720
Miss Congeniality 2:Armed and Fabulous,http://www.boxofficemojo.com/movies/?id=misscongeniality2.htm,03/24/2005,PG-13,107,14043215,3233,48478006,52915563,101393569
Miss Firecracker,http://www.boxofficemojo.com/movies/?id=missfirecracker.htm,04/28/1989,PG,102,45293,211,1852655,null,null
Miss Hill:Making Dance Matter,http://www.boxofficemojo.com/movies/?id=misshill.htm,01/23/2015,Unrated,80,2560,1,4706,null,null
Miss Julie,http://www.boxofficemojo.com/movies/?id=missjulie.htm,12/10/1999,R,103,null,null,43941,null,null
Miss Lovely,http://www.boxofficemojo.com/movies/?id=misslovely.htm,06/20/2014,Unrated,110,null,null,null,1750,null
Miss March,http://www.boxofficemojo.com/movies/?id=missmarch.htm,03/13/2009,R,90,2409156,1742,4543320,48309,4591629
Miss Minoes,http://www.boxofficemojo.com/movies/?id=missminoes.htm,12/23/2011,PG,88,1901,4,10189,null,null
