Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Like Father Like Son (2014),http://www.boxofficemojo.com/movies/?id=fatherson.htm,01/17/2014,Unrated,121,16044,35,334616,19644345,19978961
Like Mike,http://www.boxofficemojo.com/movies/?id=likemike.htm,07/03/2002,PG,100,12179420,2436,51432760,10842020,62274780
Like Someone in Love,http://www.boxofficemojo.com/movies/?id=likesomeoneinlove.htm,02/15/2013,Unrated,109,21813,23,239056,null,null
Like Sunday Like Rain,http://www.boxofficemojo.com/movies/?id=likesundaylikerain.htm,03/06/2015,R,104,1082,6,24678,null,null
Like Water,http://www.boxofficemojo.com/movies/?id=likewater.htm,06/01/2012,Unrated,76,null,null,null,null,null
Like Water for Chocolate,http://www.boxofficemojo.com/movies/?id=likewaterforchocolate.htm,02/19/1993,R,105,23600,64,21665468,n/a,21665468
Lila Lila,http://www.boxofficemojo.com/movies/?id=lilalila.htm,05/23/2014,Unrated,107,null,null,n/a,1053818,1053818
Lila Says,http://www.boxofficemojo.com/movies/?id=lilasays.htm,06/24/2005,R,89,12599,6,121365,416506,537871
Lilies,http://www.boxofficemojo.com/movies/?id=lilies.htm,10/10/1997,R,95,28781,7,301548,null,null
Liliom,http://www.boxofficemojo.com/movies/?id=liliom.htm,03/17/1935,Unrated,116,null,null,null,null,null
Lillian Russell,http://www.boxofficemojo.com/movies/?id=lillianrussell.htm,05/15/1940,Unrated,128,null,null,null,null,null
Lilo & Stitch,http://www.boxofficemojo.com/movies/?id=lilostitch.htm,06/21/2002,PG,85,35260212,3222,145794338,127349813,273144151
Lilting,http://www.boxofficemojo.com/movies/?id=lilting.htm,09/26/2014,Unrated,91,1567,9,27054,n/a,27054
Lilya 4Ever,http://www.boxofficemojo.com/movies/?id=lilya4ever.htm,04/18/2003,R,109,33731,7,184023,n/a,184023
Limbo,http://www.boxofficemojo.com/movies/?id=limbo.htm,06/04/1999,R,126,139634,111,2160710,null,null
Limelight,http://www.boxofficemojo.com/movies/?id=limelight.htm,09/23/2011,Unrated,110,9259,4,60335,null,null
The Limey,http://www.boxofficemojo.com/movies/?id=limey.htm,10/08/1999,R,89,187122,105,3204663,n/a,3204663
Limitless,http://www.boxofficemojo.com/movies/?id=darkfields.htm,03/18/2011,PG-13,105,18907302,2838,79249455,82600000,161849455
The Limits of Control,http://www.boxofficemojo.com/movies/?id=limitsofcontrol.htm,05/01/2009,R,116,55820,27,426688,1539883,1966571
Lincoln,http://www.boxofficemojo.com/movies/?id=lincoln.htm,11/09/2012,PG-13,145,21049406,2293,182207973,93085477,275293450
The Lincoln Lawyer,http://www.boxofficemojo.com/movies/?id=lincolnlawyer.htm,03/18/2011,R,119,13206453,2707,58009200,17000000,75009200
The Line King:Al Hirschfeld,http://www.boxofficemojo.com/movies/?id=lineking.htm,09/27/1996,Unrated,126,5677,7,50605,null,null
The Linguini Incident,http://www.boxofficemojo.com/movies/?id=linguiniincident.htm,05/01/1992,R,105,null,null,null,null,null
Link,http://www.boxofficemojo.com/movies/?id=link.htm,10/03/1986,R,103,660874,435,1720450,null,null
Linsanity,http://www.boxofficemojo.com/movies/?id=linsanity.htm,10/04/2013,PG,89,99462,16,302645,null,null
The Lion in Winter,http://www.boxofficemojo.com/movies/?id=lioninwinter.htm,10/30/1968,PG,134,null,null,null,null,null
The Lion King,http://www.boxofficemojo.com/movies/?id=lionking.htm,06/15/1994,G,89,40888194,2624,422783777,564700000,987483777
The Lion King (IMAX),http://www.boxofficemojo.com/movies/?id=lionkingimax.htm,12/27/2002,G,88,1825849,66,422783777,n/a,422783777
The Lion King (in 3D),http://www.boxofficemojo.com/movies/?id=lionking3d.htm,09/16/2011,G,89,30151614,2340,422783777,83400000,506183777
The Lion of Judah,http://www.boxofficemojo.com/movies/?id=lionofjudah.htm,06/03/2011,PG,87,null,null,null,null,null
Lion's Den,http://www.boxofficemojo.com/movies/?id=lionsden.htm,07/03/2009,Unrated,113,3484,1,14739,null,null
Lionheart,http://www.boxofficemojo.com/movies/?id=lionheart.htm,01/11/1991,R,105,7094552,1485,24078196,193000,24271196
Lionheart:The Children's Crusade,http://www.boxofficemojo.com/movies/?id=lionheart87.htm,08/14/1987,PG,104,null,null,null,null,null
Lions for Lambs,http://www.boxofficemojo.com/movies/?id=lionsforlambs.htm,11/09/2007,R,88,6702434,2216,15002854,48213018,63215872
Lipstick,http://www.boxofficemojo.com/movies/?id=lipstick.htm,04/02/1976,R,89,null,null,8328666,null,null
Lipstick and Dynamite,http://www.boxofficemojo.com/movies/?id=lipstickanddynamite.htm,03/25/2005,Unrated,75,4046,3,26073,null,null
Lisa,http://www.boxofficemojo.com/movies/?id=lisa.htm,04/20/1990,PG-13,93,1119895,287,4347648,null,null
The List (2007),http://www.boxofficemojo.com/movies/?id=list.htm,08/10/2007,PG,107,22823,4,138814,n/a,138814
Listen to Me,http://www.boxofficemojo.com/movies/?id=listentome.htm,05/05/1989,PG-13,107,1789759,1306,4299023,null,null
Listen Up Philip,http://www.boxofficemojo.com/movies/?id=listenupphilip.htm,10/17/2014,Unrated,108,23284,30,200126,null,null
Listen Up:The Lives of Quincy Jones,http://www.boxofficemojo.com/movies/?id=listenup.htm,10/05/1990,PG-13,115,99740,111,776699,null,null
Listen Up:The Lives of Quincy Jones,http://www.boxofficemojo.com/movies/?id=listenup.htm,10/05/1990,PG-13,115,99740,111,776699,null,null
Little Accidents,http://www.boxofficemojo.com/movies/?id=littleaccidents.htm,01/16/2015,Unrated,105,8649,17,10071,null,null
Little Ashes,http://www.boxofficemojo.com/movies/?id=littleashes.htm,05/08/2009,R,107,73394,16,481586,285981,767567
The Little Bedroom,http://www.boxofficemojo.com/movies/?id=littlebedroom.htm,09/26/2014,Unrated,88,2981,3,7440,n/a,7440
Little Big League,http://www.boxofficemojo.com/movies/?id=littlebigleague.htm,07/01/1994,PG,119,3105618,1606,12267790,null,null
Little Big Man,http://www.boxofficemojo.com/movies/?id=littlebigman.htm,12/14/1970,GP,139,null,null,31559552,null,null
Little Birds,http://www.boxofficemojo.com/movies/?id=littlebirds.htm,08/29/2012,R,96,4574,2,17739,n/a,17739
A Little Bit of Heaven,http://www.boxofficemojo.com/movies/?id=littlebitofheaven.htm,05/04/2012,PG-13,107,10011,11,15375,1281562,1296937
A Little Bit of Soul,http://www.boxofficemojo.com/movies/?id=littlebitofsoul.htm,08/06/1999,R,84,null,null,null,null,null
Little Black Book,http://www.boxofficemojo.com/movies/?id=littleblackbook.htm,08/06/2004,PG-13,105,7075217,2445,20698668,1336164,22034832
