Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Cheech and Chong's Nice Dreams,http://www.boxofficemojo.com/movies/?id=cheechandchongsnicedreams.htm,06/12/1981,R,88,null,null,null,null,null
Cheeni Kum,http://www.boxofficemojo.com/movies/?id=cheenikum.htm,05/25/2007,Unrated,140,346245,51,697369,8481096,9178465
Cheerful Weather for the Wedding,http://www.boxofficemojo.com/movies/?id=cheerfulweather.htm,12/07/2012,PG,92,727,2,2651,n/a,2651
Cheetah,http://www.boxofficemojo.com/movies/?id=cheetah.htm,08/18/1989,G,83,2636118,1321,8153677,null,null
Chef,http://www.boxofficemojo.com/movies/?id=chef.htm,05/09/2014,R,115,1911548,1298,31424003,14543932,45967935
A Chef in Love,http://www.boxofficemojo.com/movies/?id=achefinlove.htm,04/23/1997,PG-13,100,36628,34,686704,null,null
Chelsea on the Rocks,http://www.boxofficemojo.com/movies/?id=chelseaontherocks.htm,10/02/2009,R,88,4286,1,11799,3349,15148
Chelsea Walls,http://www.boxofficemojo.com/movies/?id=chelseawalls.htm,04/19/2002,R,109,10003,6,60902,null,null
Chely Wright:Wish Me Away,http://www.boxofficemojo.com/movies/?id=chelywright.htm,06/01/2012,Unrated,120,5026,4,18618,null,null
Chennai Express,http://www.boxofficemojo.com/movies/?id=chennaiexpress.htm,08/08/2013,Unrated,141,2220497,196,5307960,n/a,5307960
Cheri,http://www.boxofficemojo.com/movies/?id=cheri.htm,06/26/2009,R,100,405701,191,2715657,6650570,9366227
Cherish,http://www.boxofficemojo.com/movies/?id=cherish.htm,06/07/2002,R,100,36618,26,179751,null,null
Chernobyl Diaries,http://www.boxofficemojo.com/movies/?id=chernobyldiaries.htm,05/25/2012,R,90,7955307,2433,18119640,19038008,37157648
Cherry,http://www.boxofficemojo.com/movies/?id=cherry.htm,10/08/2010,R,95,2416,3,11362,n/a,11362
Cherry Blossoms,http://www.boxofficemojo.com/movies/?id=cherryblossoms.htm,01/16/2009,Unrated,127,3322,8,104433,12757069,12861502
The Cherry Orchard,http://www.boxofficemojo.com/movies/?id=cherryorchard.htm,02/22/2002,Unrated,135,null,3,135280,null,null
Cheyenne Autumn,http://www.boxofficemojo.com/movies/?id=cheyenneautumn.htm,10/03/1964,Unrated,156,null,null,null,null,null
The Cheyenne Social Club,http://www.boxofficemojo.com/movies/?id=cheyennesocialclub.htm,06/12/1970,PG,103,null,null,null,null,null
Chicago,http://www.boxofficemojo.com/movies/?id=chicago.htm,12/27/2002,PG-13,107,8238709,2701,170687518,136089214,306776732
Chicago 10,http://www.boxofficemojo.com/movies/?id=chicago10.htm,02/29/2008,R,103,42724,14,177490,null,null
Chicago Cab,http://www.boxofficemojo.com/movies/?id=chicagocab.htm,09/11/1998,R,93,2947,2,23946,null,null
Chicago Joe and the Showgirl,http://www.boxofficemojo.com/movies/?id=chicagojoeandtheshowgirl.htm,07/27/1990,R,105,14979,18,85395,null,null
Chicken Little,http://www.boxofficemojo.com/movies/?id=chickenlittle.htm,11/04/2005,G,81,40049778,3658,135386665,179046172,314432837
Chicken Run,http://www.boxofficemojo.com/movies/?id=chickenrun.htm,06/23/2000,G,84,17506162,2953,106834564,118000000,224834564
Chicken with Plums,http://www.boxofficemojo.com/movies/?id=chickenwithplums.htm,08/17/2012,PG-13,93,11301,24,253874,1174417,1428291
Chico & Rita,http://www.boxofficemojo.com/movies/?id=chicoandrita.htm,02/10/2012,Unrated,94,20654,23,350524,1883933,2234457
Chihwaseon,http://www.boxofficemojo.com/movies/?id=chihwaseon.htm,02/14/2003,Unrated,117,8196,5,64029,6842206,6906235
Child 44,http://www.boxofficemojo.com/movies/?id=child44.htm,04/17/2015,R,N/A,null,null,null,null,null
The Child I Never Was,http://www.boxofficemojo.com/movies/?id=childineverwas.htm,10/08/2004,Unrated,83,1617,1,2609,null,null
Child of God,http://www.boxofficemojo.com/movies/?id=childofgod.htm,08/01/2014,R,104,27630,8,39324,null,null
Child's Play,http://www.boxofficemojo.com/movies/?id=childsplay.htm,11/11/1988,R,87,6583963,1490,33244684,10952000,44196684
Child's Play 2,http://www.boxofficemojo.com/movies/?id=childsplay2.htm,11/09/1990,R,84,10718520,2017,28501605,7262000,35763605
Child's Play 3,http://www.boxofficemojo.com/movies/?id=childsplay3.htm,08/30/1991,R,90,5718940,2130,14960255,5600000,20560255
Child's Pose,http://www.boxofficemojo.com/movies/?id=childspose.htm,02/19/2014,Unrated,112,12955,10,97170,n/a,97170
Childhood's End,http://www.boxofficemojo.com/movies/?id=childhoodsend.htm,04/04/1997,Unrated,115,2556,1,3804,null,null
Children of a Lesser God,http://www.boxofficemojo.com/movies/?id=childrenofalessergod.htm,10/03/1986,R,118,1909084,544,31853080,null,null
Children of Fate,http://www.boxofficemojo.com/movies/?id=childrenoffate.htm,11/23/1993,Unrated,85,1099,1,1738,null,null
Children of Heaven,http://www.boxofficemojo.com/movies/?id=childrenofheaven.htm,01/22/1999,PG,88,20100,18,933933,null,null
The Children of Huang Shi,http://www.boxofficemojo.com/movies/?id=childrenofhuangshi.htm,05/23/2008,R,125,42755,43,1031872,6753445,7785317
Children of Invention,http://www.boxofficemojo.com/movies/?id=childrenofinvention.htm,03/12/2010,Unrated,86,4874,2,11183,null,null
Children of Men,http://www.boxofficemojo.com/movies/?id=childrenofmen.htm,12/25/2006,R,109,10197775,1524,35552383,34407368,69959751
Children of Paradise (2012 re-release),http://www.boxofficemojo.com/movies/?id=childrenofparadise.htm,03/09/2012,Unrated,163,10741,2,36986,null,null
Children of the Century,http://www.boxofficemojo.com/movies/?id=childrencentury.htm,09/13/2002,Unrated,107,8044,5,56611,n/a,56611
