Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Americanese,http://www.boxofficemojo.com/movies/?id=americanese.htm,TBD,Not Yet Rated,N/A,null,null,null,null,null
The Americanization of Emily,http://www.boxofficemojo.com/movies/?id=americanizationofemily.htm,10/27/1964,Unrated,115,null,null,null,null,null
Americanizing Shelley,http://www.boxofficemojo.com/movies/?id=americanizingshelley.htm,04/26/2007,PG,90,9434,5,128024,54807,182831
Americathon,http://www.boxofficemojo.com/movies/?id=americathon.htm,08/10/1979,PG,86,null,null,6171763,null,null
Americons,http://www.boxofficemojo.com/movies/?id=americons.htm,01/23/2015,R,85,14404,14,28782,null,null
Amexicano,http://www.boxofficemojo.com/movies/?id=amexicano.htm,09/19/2008,PG-13,84,2746,1,8655,null,null
Amigo,http://www.boxofficemojo.com/movies/?id=amigo.htm,08/19/2011,Unrated,127,37324,10,184705,null,null
Amira & Sam,http://www.boxofficemojo.com/movies/?id=amiraandsam.htm,01/30/2015,Not Yet Rated,90,15535,10,31849,null,null
Amistad,http://www.boxofficemojo.com/movies/?id=amistad.htm,12/10/1997,R,152,5176006,1019,44229441,null,null
Amityville,http://www.boxofficemojo.com/movies/?id=amityvillehorror12.htm,TBD,Not Yet Rated,N/A,null,null,null,null,null
Amityville 3-D,http://www.boxofficemojo.com/movies/?id=amityville3d.htm,11/18/1983,PG,93,2366472,1254,6333135,null,null
The Amityville Horror,http://www.boxofficemojo.com/movies/?id=amityvillehorror.htm,07/27/1979,R,119,7843467,748,86432000,null,null
The Amityville Horror (2005),http://www.boxofficemojo.com/movies/?id=amityvillehorror05.htm,04/15/2005,R,89,23507007,3323,65233369,42813762,108047131
Amityville II:The Possession,http://www.boxofficemojo.com/movies/?id=amityville2.htm,09/24/1982,R,104,4104277,1200,12534817,null,null
Among Giants,http://www.boxofficemojo.com/movies/?id=amontgiants.htm,03/26/1999,R,93,13276,9,65748,null,null
Amongst Friends,http://www.boxofficemojo.com/movies/?id=amongstfriends.htm,07/23/1993,R,88,null,null,265000,null,null
Amores Perros,http://www.boxofficemojo.com/movies/?id=amoresperros.htm,03/30/2001,R,153,61047,187,5408467,15500000,20908467
Amos & Andrew,http://www.boxofficemojo.com/movies/?id=amosandandrew.htm,03/05/1993,PG-13,96,3617317,1233,9745803,null,null
Amos Kolleck's Bad Girls,http://www.boxofficemojo.com/movies/?id=amoskollecksbadgirls.htm,01/28/1994,Unrated,85,null,null,14320,null,null
Amour,http://www.boxofficemojo.com/movies/?id=amour.htm,12/19/2012,PG-13,125,68266,333,6739492,13100000,19839492
Amour Fou,http://www.boxofficemojo.com/movies/?id=amourfou.htm,03/18/2015,Unrated,96,4385,3,10661,null,null
Amreeka,http://www.boxofficemojo.com/movies/?id=amreeka.htm,09/04/2009,PG-13,96,58823,40,627436,1548868,2176304
Amsterdamned,http://www.boxofficemojo.com/movies/?id=amsterdamned.htm,11/23/1988,R,105,14819,5,98003,null,null
Amu,http://www.boxofficemojo.com/movies/?id=amu.htm,05/25/2007,Unrated,102,8480,6,51251,null,null
