Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Hot Dog... The Movie,http://www.boxofficemojo.com/movies/?id=hotdogthemovie.htm,01/13/1984,R,96,4506756,1276,20307325,null,null
Hot Fuzz,http://www.boxofficemojo.com/movies/?id=hotfuzz.htm,04/20/2007,R,120,5848464,1272,23637265,56936509,80573774
Hot Moves,http://www.boxofficemojo.com/movies/?id=hotmoves.htm,05/17/1985,R,85,null,null,2732684,null,null
Hot Pursuit,http://www.boxofficemojo.com/movies/?id=hotpursuit.htm,05/08/1987,PG-13,93,1507645,975,4215849,null,null
Hot Pursuit,http://www.boxofficemojo.com/movies/?id=witherspoonvergara.htm,05/08/2015,PG-13,N/A,null,null,null,null,null
Hot Rod,http://www.boxofficemojo.com/movies/?id=hotrod.htm,08/03/2007,PG-13,88,5310711,2607,13938332,396069,14334401
Hot Rods to Hell,http://www.boxofficemojo.com/movies/?id=hotrodstohell.htm,01/27/1967,Unrated,92,null,null,null,null,null
Hot Shots!,http://www.boxofficemojo.com/movies/?id=hotshots.htm,08/02/1991,PG-13,84,10848182,1999,69467617,111628547,181096164
Hot Shots! Part Deux,http://www.boxofficemojo.com/movies/?id=hotshots2.htm,05/21/1993,PG-13,86,10250661,2140,38922972,94829853,133752825
The Hot Spot,http://www.boxofficemojo.com/movies/?id=hotspot.htm,10/12/1990,R,130,112188,365,1293976,null,null
Hot to Trot,http://www.boxofficemojo.com/movies/?id=hottotrot.htm,08/26/1988,PG,83,2206218,1157,6436211,null,null
Hot Tomorrows,http://www.boxofficemojo.com/movies/?id=hottomorrows.htm,04/01/1977,Unrated,N/A,null,null,null,null,null
Hot Tub Time Machine,http://www.boxofficemojo.com/movies/?id=hottubtimemachine.htm,03/26/2010,R,100,14020502,2771,50287556,14284706,64572262
Hot Tub Time Machine 2,http://www.boxofficemojo.com/movies/?id=hottub2.htm,02/20/2015,R,93,5963324,2901,12314651,null,null
Hote Hote Pyar Ho Gaya,http://www.boxofficemojo.com/movies/?id=hotehotepyarhogaya.htm,07/02/1999,Unrated,N/A,55738,16,214574,null,null
