Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
My Mother's Castle,http://www.boxofficemojo.com/movies/?id=mymotherscastle.htm,07/26/1991,PG,99,null,null,1477071,null,null
My Mother's Smile,http://www.boxofficemojo.com/movies/?id=mymotherssmile.htm,02/11/2005,Unrated,103,9167,2,41432,null,null
My Name Is Bruce,http://www.boxofficemojo.com/movies/?id=mynameisbruce.htm,10/31/2008,R,86,16432,4,173066,null,null
My Name Is Joe,http://www.boxofficemojo.com/movies/?id=mynameisjoe.htm,01/22/1999,R,105,16017,16,354952,null,null
My Name is Khan,http://www.boxofficemojo.com/movies/?id=mynameiskhan.htm,02/12/2010,PG-13,145,1944027,125,4018771,38326589,42345360
My New Gun,http://www.boxofficemojo.com/movies/?id=mynewgun.htm,10/30/1992,R,99,null,null,169600,null,null
My Old Lady,http://www.boxofficemojo.com/movies/?id=myoldlady.htm,09/10/2014,PG-13,107,124680,273,4013786,n/a,4013786
My One and Only,http://www.boxofficemojo.com/movies/?id=myoneandonly.htm,08/21/2009,PG-13,85,58692,256,2479538,546734,3026272
My Own Private Idaho,http://www.boxofficemojo.com/movies/?id=myownprivateidaho.htm,09/27/1991,R,102,null,98,6401336,null,null
My Perestroika,http://www.boxofficemojo.com/movies/?id=myperestroika.htm,03/23/2011,Unrated,88,17680,19,242707,null,null
My Piece of the Pie,http://www.boxofficemojo.com/movies/?id=mypieceofthepie.htm,12/09/2011,Unrated,109,4213,2,6850,n/a,6850
My Reincarnation,http://www.boxofficemojo.com/movies/?id=myreincarnation.htm,10/28/2011,Unrated,82,6498,5,92822,null,null
My Science Project,http://www.boxofficemojo.com/movies/?id=myscienceproject.htm,08/09/1985,PG,95,1504118,1003,4122748,null,null
My Sister's Keeper,http://www.boxofficemojo.com/movies/?id=mysisterskeeper.htm,06/26/2009,PG-13,106,12442212,2606,49200230,46514645,95714875
My Son the Fanatic,http://www.boxofficemojo.com/movies/?id=mysonthefanatic.htm,06/25/1999,R,87,38399,20,417683,null,null
My Soul to Take,http://www.boxofficemojo.com/movies/?id=mysoultotake.htm,10/08/2010,R,107,6842220,2572,14744435,6231967,20976402
My Stepmother is an Alien,http://www.boxofficemojo.com/movies/?id=mystepmotherisanalien.htm,12/09/1988,PG-13,107,2066980,1148,13854000,null,null
My Summer of Love,http://www.boxofficemojo.com/movies/?id=mysummeroflove.htm,06/17/2005,R,87,90022,63,1000915,1766061,2766976
My Super Ex-Girlfriend,http://www.boxofficemojo.com/movies/?id=superexgirlfriend.htm,07/21/2006,PG-13,95,8603460,2702,22530295,38454311,60984606
My Tutor,http://www.boxofficemojo.com/movies/?id=mytutor.htm,03/04/1983,R,97,435188,500,22587834,null,null
My Uncle Rafael,http://www.boxofficemojo.com/movies/?id=myunclerafael.htm,09/21/2012,PG-13,102,109747,14,243616,null,null
My Voyage to Italy,http://www.boxofficemojo.com/movies/?id=myvoyagetoitaly.htm,10/24/2001,PG-13,246,7117,1,11683,null,null
My Way (2012),http://www.boxofficemojo.com/movies/?id=myway2012.htm,04/20/2012,R,144,17817,22,70177,16467797,16537974
My Week with Marilyn,http://www.boxofficemojo.com/movies/?id=myweekwithmarilyn.htm,11/23/2011,R,99,561097,630,14600347,20457349,35057696
My Wife is an Actress,http://www.boxofficemojo.com/movies/?id=mywifeisanactress.htm,07/12/2002,R,93,49204,38,1121233,4048205,5169438
