Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Ella Enchanted,http://www.boxofficemojo.com/movies/?id=ellaenchanted.htm,04/09/2004,PG,95,6169030,2149,22918387,4470380,27388767
Elles,http://www.boxofficemojo.com/movies/?id=elles.htm,04/27/2012,NC-17,96,24286,13,157508,753958,911466
Elles etaient cinq,http://www.boxofficemojo.com/movies/?id=ellesetaientcinq.htm,08/27/2004,Unrated,93,null,45,1852272,null,null
Ellie Parker,http://www.boxofficemojo.com/movies/?id=ellieparker.htm,11/11/2005,R,95,10299,6,34410,11316,45726
Elling,http://www.boxofficemojo.com/movies/?id=elling.htm,05/29/2002,R,89,9606,19,314729,n/a,314729
Elsa & Fred,http://www.boxofficemojo.com/movies/?id=elsaandfred.htm,06/27/2008,PG,108,10246,15,189024,2796813,2985837
Elsa & Fred (2014),http://www.boxofficemojo.com/movies/?id=elsaandfred2014.htm,11/07/2014,PG-13,97,65275,34,285863,null,null
Elvira Mistress of the Dark,http://www.boxofficemojo.com/movies/?id=elviramistressofthedark.htm,09/30/1988,PG-13,96,1660041,627,5596267,null,null
Elvis Gratton 2,http://www.boxofficemojo.com/movies/?id=elvisgratton2.htm,07/02/1999,Unrated,105,470089,91,3316272,null,null
Elvis Gratton XXX,http://www.boxofficemojo.com/movies/?id=elvisgratton3.htm,06/23/2004,Unrated,105,551432,99,1838920,null,null
Elvis On Tour 75th Anniversary,http://www.boxofficemojo.com/movies/?id=elvis2011.htm,07/29/2010,G,93,null,null,587818,null,null
Elvis:That's the Way It Is,http://www.boxofficemojo.com/movies/?id=elvisthatsthewayitis.htm,11/11/1970,Unrated,97,null,null,null,null,null
Elysium,http://www.boxofficemojo.com/movies/?id=elysium.htm,08/09/2013,R,109,29807393,3284,93050117,193090583,286140700
The Embalmer,http://www.boxofficemojo.com/movies/?id=embalmer.htm,07/18/2003,Unrated,101,10313,2,56878,n/a,56878
Emerald Cowboy,http://www.boxofficemojo.com/movies/?id=emeraldcowboy.htm,09/19/2003,R,124,9708,6,101358,null,null
The Emerald Forest,http://www.boxofficemojo.com/movies/?id=emeraldforest.htm,07/05/1985,R,114,4345150,1110,24468550,null,null
Emile,http://www.boxofficemojo.com/movies/?id=emile.htm,02/04/2005,Unrated,95,1529,1,5799,null,null
Emma,http://www.boxofficemojo.com/movies/?id=emma.htm,08/02/1996,PG,121,3055198,848,22231658,null,null
Emma Smith:My Story,http://www.boxofficemojo.com/movies/?id=emmasmith.htm,04/11/2008,PG,98,94959,42,881787,null,null
Emmanuel's Gift,http://www.boxofficemojo.com/movies/?id=emmanuelsgift.htm,10/21/2005,G,80,14642,6,23728,null,null
Empathy,http://www.boxofficemojo.com/movies/?id=empathy.htm,01/21/2004,Unrated,92,11975,1,29345,null,null
Emperor,http://www.boxofficemojo.com/movies/?id=emperor.htm,03/08/2013,PG-13,98,1014099,311,3346265,n/a,3346265
The Emperor and the Assassin,http://www.boxofficemojo.com/movies/?id=emperorandtheassassin.htm,12/15/1999,R,161,47295,37,1267239,null,null
The Emperor's Club,http://www.boxofficemojo.com/movies/?id=emperorsclub.htm,11/22/2002,PG-13,109,3846780,811,14118751,2199698,16318449
The Emperor's New Clothes,http://www.boxofficemojo.com/movies/?id=emperorsnewclothes.htm,06/14/2002,PG,107,7474,41,661903,n/a,661903
The Emperor's New Groove,http://www.boxofficemojo.com/movies/?id=emperorsnewgroove.htm,12/15/2000,G,78,9812302,2887,89302687,80025000,169327687
Empire,http://www.boxofficemojo.com/movies/?id=empire.htm,12/06/2002,R,90,6281415,869,17600423,990849,18591272
The Empire in Africa,http://www.boxofficemojo.com/movies/?id=empireinafrica.htm,12/08/2006,Unrated,87,1088,3,1088,null,null
Empire of Lust,http://www.boxofficemojo.com/movies/?id=empireoflust.htm,03/06/2015,Unrated,N/A,2230,1,10654,n/a,10654
Empire of Silver,http://www.boxofficemojo.com/movies/?id=empireofsilver.htm,06/02/2011,Not Yet Rated,113,null,null,n/a,19036,19036
Empire of the Sun,http://www.boxofficemojo.com/movies/?id=empireofthesun.htm,12/11/1987,PG,152,2914509,673,22238696,null,null
Empire Records,http://www.boxofficemojo.com/movies/?id=empirerecords.htm,09/22/1995,PG-13,91,150800,87,273188,null,null
The Empire Strikes Back,http://www.boxofficemojo.com/movies/?id=starwars5.htm,05/21/1980,PG,129,10840307,1278,290475067,247900000,538375067
The Empire Strikes Back (Re-issue),http://www.boxofficemojo.com/movies/?id=starwars582.htm,11/19/1982,PG,124,3949478,1006,290475067,n/a,290475067
The Empire Strikes Back (Special Edition),http://www.boxofficemojo.com/movies/?id=starwars5se.htm,02/21/1997,PG,129,21975993,2322,290475067,57214766,347689833
Employee of the Month,http://www.boxofficemojo.com/movies/?id=employeeofthemonth.htm,10/06/2006,PG-13,103,11407751,2579,28444855,9924054,38368909
Empty Hours,http://www.boxofficemojo.com/movies/?id=emptyhours.htm,07/11/2014,Unrated,100,1366,3,8244,n/a,8244
The Empty Mirror,http://www.boxofficemojo.com/movies/?id=emptymirror.htm,05/07/1999,PG-13,N/A,4688,4,4688,null,null
Emptying the Skies,http://www.boxofficemojo.com/movies/?id=emptyingtheskies.htm,04/22/2015,Unrated,77,null,null,null,null,null
Enchanted,http://www.boxofficemojo.com/movies/?id=enchanted.htm,11/21/2007,PG,107,34440317,3730,127807262,212680390,340487652
Enchanted April,http://www.boxofficemojo.com/movies/?id=enchantedapril.htm,07/31/1992,PG,101,73041,324,13200170,null,null
Encino Man,http://www.boxofficemojo.com/movies/?id=encinoman.htm,05/22/1992,PG,88,9866120,2090,40693477,null,null
Encounter in the 3rd Dimension (IMAX),http://www.boxofficemojo.com/movies/?id=encourter3dimax.htm,02/26/1999,Unrated,40,21653,16,7195792,30992361,38188153
Encounters at the End of the World,http://www.boxofficemojo.com/movies/?id=encountersattheendoftheworld.htm,06/11/2008,G,99,17730,39,944933,260531,1205464
The End,http://www.boxofficemojo.com/movies/?id=theend.htm,05/10/1978,R,100,null,null,44917151,null,null
End of Days,http://www.boxofficemojo.com/movies/?id=endofdays.htm,11/24/1999,R,121,20523595,2652,66889043,145100000,211989043
The End of Love,http://www.boxofficemojo.com/movies/?id=endoflove.htm,03/01/2013,Unrated,90,1955,3,9342,null,null
