Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
I Don't Want to Sleep Alone,http://www.boxofficemojo.com/movies/?id=idontwanttosleepalone.htm,05/09/2007,Unrated,115,4377,1,19292,206734,226026
I Dreamed of Africa,http://www.boxofficemojo.com/movies/?id=idreamedofafrica.htm,05/05/2000,PG-13,115,2411445,2112,6651522,7748805,14400327
I Give It a Year,http://www.boxofficemojo.com/movies/?id=igiveitayear.htm,08/09/2013,R,97,5436,6,34657,28200000,28234657
I Got the Hook-Up!,http://www.boxofficemojo.com/movies/?id=igotthehook-up.htm,05/29/1998,R,93,3310349,655,10317779,null,null
I Hate Luv Storys,http://www.boxofficemojo.com/movies/?id=ihateluvstorys.htm,06/30/2010,Unrated,135,375297,85,847993,14871219,15719212
I Hate Valentine's Day,http://www.boxofficemojo.com/movies/?id=ihatevalentinesday.htm,07/03/2009,PG-13,89,5009,3,11004,3499639,3510643
I Have Never Forgotten You:The Life & Legacy of Simon Wiesenthal,http://www.boxofficemojo.com/movies/?id=ihaveneverforgottenyou.htm,05/23/2007,PG-13,105,5075,9,29976,174191,204167
I Heart Huckabees,http://www.boxofficemojo.com/movies/?id=ihearthuckabees.htm,10/01/2004,R,106,2902468,901,12785432,7286740,20072172
I Hope They Serve Beer in Hell,http://www.boxofficemojo.com/movies/?id=ihopetheyservebeerinhell.htm,09/25/2009,R,105,366909,266,1429299,null,null
I Kissed a Vampire,http://www.boxofficemojo.com/movies/?id=ikissedavampire.htm,03/30/2012,PG,91,1380,11,1794,null,null
I Know What You Did Last Summer,http://www.boxofficemojo.com/movies/?id=iknowwhatyoudidlastsummer.htm,10/17/1997,R,101,15818645,2524,72586134,53000000,125586134
I Know Who Killed Me,http://www.boxofficemojo.com/movies/?id=iknowwhokilledme.htm,07/27/2007,R,105,3506291,1320,7498716,2171042,9669758
I Like it Like That,http://www.boxofficemojo.com/movies/?id=ilikeitlikethat.htm,10/14/1994,R,107,null,null,1760527,null,null
I Like Killing Flies,http://www.boxofficemojo.com/movies/?id=ilikekillingflies.htm,07/28/2006,R,79,5487,2,16214,null,null
I Love Trouble,http://www.boxofficemojo.com/movies/?id=ilovetrouble.htm,07/01/1994,PG,123,7827002,1746,30806194,null,null
I Love You Beth Cooper,http://www.boxofficemojo.com/movies/?id=iloveyoubethcooper.htm,07/10/2009,PG-13,102,4919433,1872,14800725,1021182,15821907
I Love You to Death,http://www.boxofficemojo.com/movies/?id=iloveyoutodeath.htm,04/06/1990,R,97,4014640,1095,16186793,null,null
I Love You Don't Touch Me,http://www.boxofficemojo.com/movies/?id=iloveyoudonttouchme.htm,02/20/1998,R,85,33598,10,98973,null,null
I Love You I Love You Not,http://www.boxofficemojo.com/movies/?id=iloveyouiloveyounot.htm,10/31/1997,PG-13,80,10587,6,20677,null,null
I Love You Man,http://www.boxofficemojo.com/movies/?id=iloveyouman.htm,03/20/2009,R,110,17810270,2829,71440011,20196975,91636986
I Love You Phillip Morris,http://www.boxofficemojo.com/movies/?id=iloveyouphillipmorris.htm,12/03/2010,R,100,112520,100,2037459,18685384,20722843
I Love Your Work,http://www.boxofficemojo.com/movies/?id=iloveyourwork.htm,11/04/2005,R,107,2580,1,3264,null,null
I Married a Strange Person!,http://www.boxofficemojo.com/movies/?id=imarriedastrangeperson.htm,08/28/1998,R,73,13472,2,206272,null,null
I Melt With You,http://www.boxofficemojo.com/movies/?id=imeltwithyou.htm,12/09/2011,R,116,2729,2,6361,n/a,6361
I Now Pronounce You Chuck and Larry,http://www.boxofficemojo.com/movies/?id=chuckandlarry.htm,07/20/2007,PG-13,110,34233750,3501,120059556,66012658,186072214
I Origins,http://www.boxofficemojo.com/movies/?id=iorigins.htm,07/18/2014,R,113,27652,122,336472,n/a,336472
I Ought to Be in Pictures,http://www.boxofficemojo.com/movies/?id=ioughttobeinpictures.htm,03/26/1982,PG,108,2170397,662,6968359,null,null
I Saw the Devil,http://www.boxofficemojo.com/movies/?id=isawthedevil.htm,03/04/2011,Unrated,141,13567,15,129210,12644780,12773990
I Sell the Dead,http://www.boxofficemojo.com/movies/?id=isellthedead.htm,08/07/2009,Unrated,85,3529,2,8050,null,null
I Served the King of England,http://www.boxofficemojo.com/movies/?id=iservedthekingofengland.htm,08/29/2008,R,120,53218,38,617403,6701807,7319210
I Shot a Man in Vegas,http://www.boxofficemojo.com/movies/?id=ishotamaninvegas.htm,10/18/1996,R,86,null,null,2684,null,null
I Shot Andy Warhol,http://www.boxofficemojo.com/movies/?id=ishotandywarhol.htm,05/01/1996,R,100,57053,58,1875527,null,null
I Spit on Your Grave,http://www.boxofficemojo.com/movies/?id=ispitonyourgrave.htm,10/08/2010,Unrated,108,32440,12,93051,479758,572809
I Spit on Your Grave 2,http://www.boxofficemojo.com/movies/?id=ispitonyourgrave2.htm,09/20/2013,R,106,441,1,809,n/a,809
I Spy,http://www.boxofficemojo.com/movies/?id=ispy.htm,11/01/2002,PG-13,96,12752803,3182,33561137,17171808,50732945
I Stand Alone,http://www.boxofficemojo.com/movies/?id=istandalone.htm,03/19/1999,Unrated,93,6955,1,6955,null,null
I Still Know What You Did Last Summer,http://www.boxofficemojo.com/movies/?id=istillknowwhatyoudidlastsummer.htm,11/13/1998,R,100,16520038,2473,40002112,null,null
I Think I Do,http://www.boxofficemojo.com/movies/?id=ithinkido.htm,04/10/1998,Unrated,90,33633,10,345478,null,null
I Think I Love My Wife,http://www.boxofficemojo.com/movies/?id=ithinkilovemywife.htm,03/16/2007,R,90,5674802,1794,12550605,645640,13196245
I Trust You to Kill Me,http://www.boxofficemojo.com/movies/?id=itrustyoutokillme.htm,09/08/2006,R,89,5888,1,12854,null,null
I Used to Be Darker,http://www.boxofficemojo.com/movies/?id=iusedtobedarker.htm,09/27/2013,Unrated,90,3533,5,22214,null,null
I Vitelloni,http://www.boxofficemojo.com/movies/?id=ivitelloni.htm,11/14/2003,Unrated,104,14790,3,116428,n/a,116428
I Wanna Hold Your Hand,http://www.boxofficemojo.com/movies/?id=iwannaholdyourhand.htm,01/01/1978,PG,104,null,null,1944682,null,null
I Want Someone to Eat Cheese With,http://www.boxofficemojo.com/movies/?id=iwantsomeonetoeatcheesewith.htm,09/05/2007,R,80,12317,14,194568,null,null
I Want You,http://www.boxofficemojo.com/movies/?id=iwantyou.htm,06/04/1999,R,87,1242,1,1672,null,null
I Want Your Money,http://www.boxofficemojo.com/movies/?id=iwantyourmoney.htm,10/15/2010,PG,92,249428,537,433588,null,null
I Was a Jewish Sex Worker,http://www.boxofficemojo.com/movies/?id=iwasajewishsexworker.htm,04/25/1997,Unrated,75,null,null,8526,null,null
I Was a Male War Bride,http://www.boxofficemojo.com/movies/?id=iwasamalewarbride.htm,08/19/1949,Unrated,105,null,null,null,null,null
I Will Follow,http://www.boxofficemojo.com/movies/?id=iwillfollow.htm,03/11/2011,Unrated,88,56176,21,135809,null,null
I Wish,http://www.boxofficemojo.com/movies/?id=iwish.htm,05/11/2012,PG,128,10919,12,145808,1397577,1543385
