name,url,gender,role,event
'Daniel Day-Lewis',http://en.wikipedia.org/wiki/Daniel_Day-Lewis,male,lead,'9th Screen Actors Guild Awards'
'Renée Zellweger',http://en.wikipedia.org/wiki/Ren%C3%A9e_Zellweger,female,lead,'9th Screen Actors Guild Awards'
'Christopher Walken',http://en.wikipedia.org/wiki/Christopher_Walken,male,support,'9th Screen Actors Guild Awards'
'Catherine Zeta-Jones',http://en.wikipedia.org/wiki/Catherine_Zeta-Jones,female,support,'9th Screen Actors Guild Awards'
'Russell Crowe',http://en.wikipedia.org/wiki/Russell_Crowe,male,lead,'8th Screen Actors Guild Awards'
'Halle Berry',http://en.wikipedia.org/wiki/Halle_Berry,female,lead,'8th Screen Actors Guild Awards'
'Ian McKellen',http://en.wikipedia.org/wiki/Ian_McKellen,male,support,'8th Screen Actors Guild Awards'
'Helen Mirren',http://en.wikipedia.org/wiki/Helen_Mirren,female,support,'8th Screen Actors Guild Awards'
'Benicio del Toro',http://en.wikipedia.org/wiki/Benicio_del_Toro,male,lead,'7th Screen Actors Guild Awards'
'Julia Roberts',http://en.wikipedia.org/wiki/Julia_Roberts,female,lead,'7th Screen Actors Guild Awards'
'Albert Finney',http://en.wikipedia.org/wiki/Albert_Finney,male,support,'7th Screen Actors Guild Awards'
'Judi Dench',http://en.wikipedia.org/wiki/Judi_Dench,female,support,'7th Screen Actors Guild Awards'
'Kevin Spacey',http://en.wikipedia.org/wiki/Kevin_Spacey,male,lead,'6th Screen Actors Guild Awards'
'Annette Bening',http://en.wikipedia.org/wiki/Annette_Bening,female,lead,'6th Screen Actors Guild Awards'
'Michael Caine',http://en.wikipedia.org/wiki/Michael_Caine,male,support,'6th Screen Actors Guild Awards'
'Angelina Jolie',http://en.wikipedia.org/wiki/Angelina_Jolie,female,support,'6th Screen Actors Guild Awards'
'Roberto Benigni',http://en.wikipedia.org/wiki/Roberto_Benigni,male,lead,'5th Screen Actors Guild Awards'
'Gwyneth Paltrow',http://en.wikipedia.org/wiki/Gwyneth_Paltrow,female,lead,'5th Screen Actors Guild Awards'
'Robert Duvall',http://en.wikipedia.org/wiki/Robert_Duvall,male,support,'5th Screen Actors Guild Awards'
'Kathy Bates',http://en.wikipedia.org/wiki/Kathy_Bates,female,support,'5th Screen Actors Guild Awards'
'Jack Nicholson',http://en.wikipedia.org/wiki/Jack_Nicholson,male,lead,'4th Screen Actors Guild Awards'
'Helen Hunt',http://en.wikipedia.org/wiki/Helen_Hunt,female,lead,'4th Screen Actors Guild Awards'
'Robin Williams',http://en.wikipedia.org/wiki/Robin_Williams,male,support,'4th Screen Actors Guild Awards'
