url,title,year
http://en.wikipedia.org/wiki/MacArthur_(film),'MacArthur (film)',1977
http://en.wikipedia.org/wiki/Motel_Hell,'Motel Hell',1980
http://en.wikipedia.org/wiki/It%27s_a_Gift,'Its a Gift',1934
http://en.wikipedia.org/wiki/Un_flic,'Un flic',1972
http://en.wikipedia.org/wiki/The_Sum_of_All_Fears_(film),'The Sum of All Fears (film)',2002
http://en.wikipedia.org/wiki/Edward_Scissorhands,'Edward Scissorhands',1990
http://en.wikipedia.org/wiki/The_English_Patient_(film),'The English Patient (film)',1996
http://en.wikipedia.org/wiki/Apollo_18_(film),'Apollo 18 (film)',2011
http://en.wikipedia.org/wiki/Art_of_the_Devil_3,'Art of the Devil 3',2008
http://en.wikipedia.org/wiki/Art_of_the_Devil_2,'Art of the Devil 2',2005
http://en.wikipedia.org/wiki/Je_t%27aime_John_Wayne,'Je taime John Wayne',2000
http://en.wikipedia.org/wiki/Lovin%27_Molly,'Lovin Molly',1974
http://en.wikipedia.org/wiki/Amityville_4:_The_Evil_Escapes,'Amityville 4: The Evil Escapes',1984
http://en.wikipedia.org/wiki/The_Chocolate_War_(film),'The Chocolate War (film)',1988
http://en.wikipedia.org/wiki/Don%27t_Lose_Your_Head,'Dont Lose Your Head',1966
http://en.wikipedia.org/wiki/Le_Diable_boiteux_(film),'Le Diable boiteux (film)',1948
http://en.wikipedia.org/wiki/When_Dinosaurs_Ruled_the_Earth,'When Dinosaurs Ruled the Earth',1971
http://en.wikipedia.org/wiki/Halloween_III:_Season_of_the_Witch,'Halloween III: Season of the Witch',1982
http://en.wikipedia.org/wiki/The_Grudge,'The Grudge',2004
http://en.wikipedia.org/wiki/And_the_Spring_Comes,'And the Spring Comes',2007
http://en.wikipedia.org/wiki/Pusher_III,'Pusher III',2005
http://en.wikipedia.org/wiki/Love_on_the_Dole_(film),'Love on the Dole (film)',1941
http://en.wikipedia.org/wiki/A_Crack_in_the_Floor,'A Crack in the Floor',2000
http://en.wikipedia.org/wiki/The_Devil%27s_Double,'The Devils Double',2011
http://en.wikipedia.org/wiki/Ah!_Nomugi_Toge,'Ah! Nomugi Toge',1979
http://en.wikipedia.org/wiki/The_Stalking_of_Laurie_Show,'The Stalking of Laurie Show',2000
http://en.wikipedia.org/wiki/It_Happened_One_Night,'It Happened One Night',1934
http://en.wikipedia.org/wiki/Death_Wish_(film),'Death Wish (film)',1974
http://en.wikipedia.org/wiki/The_Temptation_of_St._Tony,'The Temptation of St. Tony',2009
http://en.wikipedia.org/wiki/Lancelot_du_Lac_(film),'Lancelot du Lac (film)',1974
http://en.wikipedia.org/wiki/The_Eclipse_(2009_film),'The Eclipse (2009 film)',2009
http://en.wikipedia.org/wiki/The_Emerald_Forest_(film),'The Emerald Forest (film)',1985
http://en.wikipedia.org/wiki/Texas_Chainsaw_3D,'Texas Chainsaw 3D',2013
http://en.wikipedia.org/wiki/The_Whole_Ten_Yards,'The Whole Ten Yards',2004
http://en.wikipedia.org/wiki/Butterflies_Are_Free,'Butterflies Are Free',1972
http://en.wikipedia.org/wiki/Entrapment_(film),'Entrapment (film)',1999
http://en.wikipedia.org/wiki/Taggart_(1964_film),'Taggart (1964 film)',1964
http://en.wikipedia.org/wiki/The_Baader_Meinhof_Complex,'The Baader Meinhof Complex',2008
http://en.wikipedia.org/wiki/Mayrig,'Mayrig',1992
http://en.wikipedia.org/wiki/Mystery_Train_(film),'Mystery Train (film)',1989
http://en.wikipedia.org/wiki/The_Legend_of_Billie_Jean,'The Legend of Billie Jean',1985
http://en.wikipedia.org/wiki/So_Long_Stooge,'So Long Stooge',1983
http://en.wikipedia.org/wiki/The_Pink_Panther_Strikes_Again,'The Pink Panther Strikes Again',1976
http://en.wikipedia.org/wiki/Jason%27s_Lyric,'Jasons Lyric',1994
http://en.wikipedia.org/wiki/Chunhyang_(2000_film),'Chunhyang (2000 film)',2000
http://en.wikipedia.org/wiki/Dog_Day_Afternoon,'Dog Day Afternoon',1975
http://en.wikipedia.org/wiki/The_Blood_on_Satan%27s_Claw,'The Blood on Satans Claw',1971
http://en.wikipedia.org/wiki/Rabbit_Test_(film),'Rabbit Test (film)',1978
http://en.wikipedia.org/wiki/Night_at_the_Museum:_Battle_of_the_Smithsonian,'Night at the Museum: Battle of the Smithsonian',2009
http://en.wikipedia.org/wiki/Two_Mules_for_Sister_Sara,'Two Mules for Sister Sara',1970
http://en.wikipedia.org/wiki/Musafir_(2004_film),'Musafir (2004 film)',2004
http://en.wikipedia.org/wiki/Twice_Upon_a_Yesterday,'Twice Upon a Yesterday',1999
http://en.wikipedia.org/wiki/Karin%27s_Face,'Karins Face',1984
http://en.wikipedia.org/wiki/Happy_Texas_(film),'Happy Texas (film)',1999
http://en.wikipedia.org/wiki/The_Marine,'The Marine',2006
http://en.wikipedia.org/wiki/Igby_Goes_Down,'Igby Goes Down',2002
http://en.wikipedia.org/wiki/Four_Shades_of_Brown,'Four Shades of Brown',2004
http://en.wikipedia.org/wiki/Feed_(film),'Feed (film)',2006
http://en.wikipedia.org/wiki/Stolen_Kisses,'Stolen Kisses',1968
http://en.wikipedia.org/wiki/Ghost_in_Love,'Ghost in Love',1998
http://en.wikipedia.org/wiki/Inside_the_Girls,'Inside the Girls',2014
http://en.wikipedia.org/wiki/Lee_Daniels%27_The_Butler,'Lee Daniels The Butler',2013
http://en.wikipedia.org/wiki/It%27s_Not_Just_You_Murray!,'Its Not Just You Murray!',1964
http://en.wikipedia.org/wiki/The_War_in_Space,'The War in Space',1977
http://en.wikipedia.org/wiki/Twelve_Months_(1980_film),'Twelve Months (1980 film)',1980
http://en.wikipedia.org/wiki/Charlie_Muffin,'Charlie Muffin',1979
http://en.wikipedia.org/wiki/Still_Crazy,'Still Crazy',1998
http://en.wikipedia.org/wiki/Billion_Dollar_Brain,'Billion Dollar Brain',1967
http://en.wikipedia.org/wiki/What%3F_(film),'What? (film)',1972
http://en.wikipedia.org/wiki/Atragon,'Atragon',1963
http://en.wikipedia.org/wiki/The_Outfit_(1973_film),'The Outfit (1973 film)',1973
http://en.wikipedia.org/wiki/Conspiracy_Theory_(film),'Conspiracy Theory (film)',1997
http://en.wikipedia.org/wiki/Romeo_Must_Die,'Romeo Must Die',2000
http://en.wikipedia.org/wiki/Music_and_Lyrics,'Music and Lyrics',2007
http://en.wikipedia.org/wiki/The_Chaser_(film),'The Chaser (film)',2008
http://en.wikipedia.org/wiki/Towelhead_(film),'Towelhead (film)',2008
http://en.wikipedia.org/wiki/Broken_Flowers,'Broken Flowers',2005
http://en.wikipedia.org/wiki/Star_Wars_Episode_I:_The_Phantom_Menace,'Star Wars Episode I: The Phantom Menace',1999
http://en.wikipedia.org/wiki/We_Own_the_Night_(film),'We Own the Night (film)',2007
http://en.wikipedia.org/wiki/Atanarjuat,'Atanarjuat',2001
http://en.wikipedia.org/wiki/The_Last_Temptation_of_Christ_(film),'The Last Temptation of Christ (film)',1988
http://en.wikipedia.org/wiki/Girl_Happy,'Girl Happy',1965
http://en.wikipedia.org/wiki/From_Beyond_(film),'From Beyond (film)',1986
http://en.wikipedia.org/wiki/Punch-Drunk_Love,'Punch-Drunk Love',2002
http://en.wikipedia.org/wiki/Sundown:_The_Vampire_in_Retreat,'Sundown: The Vampire in Retreat',1991
http://en.wikipedia.org/wiki/Lie_with_Me,'Lie with Me',2006
http://en.wikipedia.org/wiki/Dungeons_%26_Dragons_(film),'Dungeons & Dragons (film)',2000
http://en.wikipedia.org/wiki/Demonlover,'Demonlover',2002
http://en.wikipedia.org/wiki/The_Werewolf_of_Woodstock,'The Werewolf of Woodstock',1975
http://en.wikipedia.org/wiki/Thunderball_(film),'Thunderball (film)',1965
http://en.wikipedia.org/wiki/Repli-Kate,'Repli-Kate',2002
http://en.wikipedia.org/wiki/Captain_Newman_M.D.,'Captain Newman M.D.',1963
http://en.wikipedia.org/wiki/From_Dusk_Till_Dawn_2:_Texas_Blood_Money,'From Dusk Till Dawn 2: Texas Blood Money',1999
http://en.wikipedia.org/wiki/101_Reykjav%C3%ADk,'101 Reykjavík',2000
http://en.wikipedia.org/wiki/There_Was_a_Crooked_Man...,'There Was a Crooked Man...',1970
http://en.wikipedia.org/wiki/Dummy_(film),'Dummy (film)',2002
http://en.wikipedia.org/wiki/Tanguy_(film),'Tanguy (film)',2001
http://en.wikipedia.org/wiki/Smokin%27_Aces_2:_Assassins%27_Ball,'Smokin Aces 2: Assassins Ball',2010
http://en.wikipedia.org/wiki/Midway_(film),'Midway (film)',1976
http://en.wikipedia.org/wiki/Attack_on_the_Pin-Up_Boys,'Attack on the Pin-Up Boys',2007
http://en.wikipedia.org/wiki/A_Force_of_One,'A Force of One',1979
http://en.wikipedia.org/wiki/Dangerous_Minds,'Dangerous Minds',1995
http://en.wikipedia.org/wiki/Escape_(1940_film),'Escape (1940 film)',1940
http://en.wikipedia.org/wiki/An_Alan_Smithee_Film:_Burn_Hollywood_Burn,'An Alan Smithee Film: Burn Hollywood Burn',1998
http://en.wikipedia.org/wiki/Anna_and_the_King_of_Siam_(film),'Anna and the King of Siam (film)',1946
http://en.wikipedia.org/wiki/The_Secret_of_Kells,'The Secret of Kells',2009
http://en.wikipedia.org/wiki/Sorority_Row,'Sorority Row',2009
http://en.wikipedia.org/wiki/The_300_Spartans,'The 300 Spartans',1962
http://en.wikipedia.org/wiki/The_Disappearance_of_Alice_Creed,'The Disappearance of Alice Creed',2010
http://en.wikipedia.org/wiki/Undercover_Angel_(TV_film),'Undercover Angel (TV film)',1999
http://en.wikipedia.org/wiki/The_Proposal_(film),'The Proposal (film)',2009
http://en.wikipedia.org/wiki/3_Godfathers,'3 Godfathers',1948
http://en.wikipedia.org/wiki/Jalsaghar,'Jalsaghar',1958
http://en.wikipedia.org/wiki/Cirque_du_Freak_(film),'Cirque du Freak (film)',2008
http://en.wikipedia.org/wiki/Alien_Lockdown,'Alien Lockdown',2004
http://en.wikipedia.org/wiki/Jungle_2_Jungle,'Jungle 2 Jungle',1997
http://en.wikipedia.org/wiki/Marriage_Italian-Style,'Marriage Italian-Style',1964
http://en.wikipedia.org/wiki/The_Last_Wizard_of_the_Century,'The Last Wizard of the Century',1999
http://en.wikipedia.org/wiki/Counsellor_at_Law,'Counsellor at Law',1933
http://en.wikipedia.org/wiki/The_Night_of_the_Hunter_(film),'The Night of the Hunter (film)',1955
http://en.wikipedia.org/wiki/Ninja_Academy,'Ninja Academy',1990
http://en.wikipedia.org/wiki/The_Sons_of_Great_Bear,'The Sons of Great Bear',1966
http://en.wikipedia.org/wiki/House_(1986_film),'House (1986 film)',1986
http://en.wikipedia.org/wiki/Liberal_Arts_(film),'Liberal Arts (film)',2012
http://en.wikipedia.org/wiki/Stage_Door,'Stage Door',1937
http://en.wikipedia.org/wiki/My_Boss%27s_Daughter,'My Bosss Daughter',2003
http://en.wikipedia.org/wiki/Another_Fine_Mess_(1930_film),'Another Fine Mess (1930 film)',1930
http://en.wikipedia.org/wiki/Hag_in_a_Black_Leather_Jacket,'Hag in a Black Leather Jacket',1964
http://en.wikipedia.org/wiki/No_Dessert_Dad_till_You_Mow_the_Lawn,'No Dessert Dad till You Mow the Lawn',1994
http://en.wikipedia.org/wiki/Man_on_Wire,'Man on Wire',2008
http://en.wikipedia.org/wiki/The_Hollywood_Revue_of_1929,'The Hollywood Revue of 1929',1929
http://en.wikipedia.org/wiki/Golden_Brother,'Golden Brother',2014
http://en.wikipedia.org/wiki/The_Arrival_of_Averill,'The Arrival of Averill',1992
http://en.wikipedia.org/wiki/Ponette,'Ponette',1997
http://en.wikipedia.org/wiki/Space_Battleship_Yamato_2199:_Voyage_of_Remembrance,'Space Battleship Yamato 2199: Voyage of Remembrance',2014
http://en.wikipedia.org/wiki/Annie_Hall,'Annie Hall',1977
http://en.wikipedia.org/wiki/Me_and_Orson_Welles,'Me and Orson Welles',2009
http://en.wikipedia.org/wiki/Coma_(1978_film),'Coma (1978 film)',1978
http://en.wikipedia.org/wiki/My_Wife_Got_Married,'My Wife Got Married',2008
http://en.wikipedia.org/wiki/Porky%27s_Duck_Hunt,'Porkys Duck Hunt',1937
http://en.wikipedia.org/wiki/Raising_Victor_Vargas,'Raising Victor Vargas',2003
http://en.wikipedia.org/wiki/Sylvia_(2003_film),'Sylvia (2003 film)',2003
http://en.wikipedia.org/wiki/The_World_(film),'The World (film)',2004
http://en.wikipedia.org/wiki/Salem%27s_Lot_(1979_TV_miniseries),'Salems Lot (1979 TV miniseries)',1979
http://en.wikipedia.org/wiki/The_Devil-Doll,'The Devil-Doll',1936
http://en.wikipedia.org/wiki/The_Other_Side_of_Midnight,'The Other Side of Midnight',1977
http://en.wikipedia.org/wiki/Porco_Rosso,'Porco Rosso',1992
http://en.wikipedia.org/wiki/Shaun_of_the_Dead,'Shaun of the Dead',2004
http://en.wikipedia.org/wiki/The_Girl_Who_Knew_Too_Much_(1969_film),'The Girl Who Knew Too Much (1969 film)',1969
http://en.wikipedia.org/wiki/Hearts_of_Age,'Hearts of Age',1934
http://en.wikipedia.org/wiki/Ala-Arriba!_(film),'Ala-Arriba! (film)',1942
http://en.wikipedia.org/wiki/Ong_Bak_2,'Ong Bak 2',2008
http://en.wikipedia.org/wiki/The_Way_Way_Back,'The Way Way Back',2013
http://en.wikipedia.org/wiki/The_Boatniks,'The Boatniks',1970
http://en.wikipedia.org/wiki/Titanic_II_(film),'Titanic II (film)',2010
http://en.wikipedia.org/wiki/Awaargi,'Awaargi',1990
http://en.wikipedia.org/wiki/The_Queen_(film),'The Queen (film)',2006
http://en.wikipedia.org/wiki/Lovelife,'Lovelife',1996
http://en.wikipedia.org/wiki/Open_City_(film),'Open City (film)',2008
http://en.wikipedia.org/wiki/The_Quiet_Earth_(film),'The Quiet Earth (film)',1985
http://en.wikipedia.org/wiki/The_I_Inside,'The I Inside',2004
http://en.wikipedia.org/wiki/Quiet_Days_in_Hollywood,'Quiet Days in Hollywood',1997
http://en.wikipedia.org/wiki/Experiment_in_Terror,'Experiment in Terror',1962
http://en.wikipedia.org/wiki/Charlotte_et_son_Jules,'Charlotte et son Jules',1960
http://en.wikipedia.org/wiki/U2_3D,'U2 3D',2008
http://en.wikipedia.org/wiki/White_Fang_(1991_film),'White Fang (1991 film)',1991
http://en.wikipedia.org/wiki/Topper_(film),'Topper (film)',1937
http://en.wikipedia.org/wiki/A_Child_Is_Waiting,'A Child Is Waiting',1965
http://en.wikipedia.org/wiki/You%27ve_Got_to_Walk_It_Like_You_Talk_It_or_You%27ll_Lose_That_Beat,'Youve Got to Walk It Like You Talk It or Youll Lose That Beat',1971
http://en.wikipedia.org/wiki/Mr._Wrong,'Mr. Wrong',1996
http://en.wikipedia.org/wiki/The_Fourth_Protocol_(film),'The Fourth Protocol (film)',1987
http://en.wikipedia.org/wiki/Topsy-Turvy,'Topsy-Turvy',1999
http://en.wikipedia.org/wiki/Departures_(film),'Departures (film)',2008
http://en.wikipedia.org/wiki/Bring_It_On:_All_or_Nothing,'Bring It On: All or Nothing',2006
http://en.wikipedia.org/wiki/Lust_for_a_Vampire,'Lust for a Vampire',1971
http://en.wikipedia.org/wiki/True_Stories_(film),'True Stories (film)',1986
http://en.wikipedia.org/wiki/Mountains_May_Depart,'Mountains May Depart',null
http://en.wikipedia.org/wiki/Step_Brothers_(film),'Step Brothers (film)',2008
http://en.wikipedia.org/wiki/Gorky_Park_(film),'Gorky Park (film)',1983
http://en.wikipedia.org/wiki/Original_Sin_(2001_film),'Original Sin (2001 film)',2001
http://en.wikipedia.org/wiki/Godzilla_vs._Megaguirus,'Godzilla vs. Megaguirus',2000
http://en.wikipedia.org/wiki/The_Draughtsman%27s_Contract,'The Draughtsmans Contract',1983
http://en.wikipedia.org/wiki/Between_Love_and_Hate,'Between Love and Hate',2006
http://en.wikipedia.org/wiki/V/H/S,'V/H/S',2012
http://en.wikipedia.org/wiki/Nuts_(1987_film),'Nuts (1987 film)',1987
http://en.wikipedia.org/wiki/Hellcats_of_the_Navy,'Hellcats of the Navy',1957
http://en.wikipedia.org/wiki/Charlie_the_Lonesome_Cougar,'Charlie the Lonesome Cougar',1967
http://en.wikipedia.org/wiki/Viva_Freedom!,'Viva Freedom!',1946
http://en.wikipedia.org/wiki/P.S._I_Love_You_(film),'P.S. I Love You (film)',2008
http://en.wikipedia.org/wiki/The_Miniver_Story,'The Miniver Story',1950
http://en.wikipedia.org/wiki/Curiosity_Kills_the_Cat_(film),'Curiosity Kills the Cat (film)',2006
http://en.wikipedia.org/wiki/Deuces_Wild,'Deuces Wild',2002
http://en.wikipedia.org/wiki/The_Aggressives,'The Aggressives',2005
http://en.wikipedia.org/wiki/My_Name_Is_Nobody,'My Name Is Nobody',1973
http://en.wikipedia.org/wiki/10_Questions_for_the_Dalai_Lama,'10 Questions for the Dalai Lama',2006
http://en.wikipedia.org/wiki/Rockers_(1978_film),'Rockers (1978 film)',1978
http://en.wikipedia.org/wiki/The_Rocket_(2005_film),'The Rocket (2005 film)',2005
http://en.wikipedia.org/wiki/Once_Upon_a_Time_in_China_II,'Once Upon a Time in China II',1992
http://en.wikipedia.org/wiki/Daydreams_(1922_film),'Daydreams (1922 film)',1922
http://en.wikipedia.org/wiki/Ma%C3%AEtresse,'Maîtresse',1973
http://en.wikipedia.org/wiki/Movie_Critters%27_Big_Picture,'Movie Critters Big Picture',2003
http://en.wikipedia.org/wiki/Harry_Brown_(film),'Harry Brown (film)',2009
http://en.wikipedia.org/wiki/The_Pirate,'The Pirate',1947
http://en.wikipedia.org/wiki/Dynamite_Warrior,'Dynamite Warrior',2006
http://en.wikipedia.org/wiki/Pauline_%C3%A0_la_plage,'Pauline à la plage',1983
http://en.wikipedia.org/w/index.php?title=Hello_I_Must_Be_Going(film)&action=edit&redlink=1,'Hello I Must Be Going(film) (page does not exist)',2012
http://en.wikipedia.org/wiki/Before_Midnight_(film),'Before Midnight (film)',2013
http://en.wikipedia.org/wiki/Zvezda_(film),'Zvezda (film)',2002
http://en.wikipedia.org/wiki/9th_Company,'9th Company',2005
http://en.wikipedia.org/wiki/Megaforce,'Megaforce',1982
http://en.wikipedia.org/wiki/Spider-Man_3,'Spider-Man 3',2007
http://en.wikipedia.org/wiki/Spider-Man_2,'Spider-Man 2',2004
http://en.wikipedia.org/wiki/Charlie_Wilson%27s_War,'Charlie Wilsons War',2007
http://en.wikipedia.org/wiki/Living_Out_Loud,'Living Out Loud',1998
http://en.wikipedia.org/wiki/Objective_Burma!,'Objective Burma!',1945
http://en.wikipedia.org/wiki/Idlewild_(film),'Idlewild (film)',2006
http://en.wikipedia.org/wiki/Bayside_Shakedown_2,'Bayside Shakedown 2',2003
http://en.wikipedia.org/wiki/Bayside_Shakedown_3,'Bayside Shakedown 3',2010
http://en.wikipedia.org/wiki/Meet_the_Parents,'Meet the Parents',2000
http://en.wikipedia.org/wiki/F_for_Fake,'F for Fake',1974
http://en.wikipedia.org/wiki/C.S.A.:_The_Confederate_States_of_America,'C.S.A.: The Confederate States of America',2005
http://en.wikipedia.org/wiki/Addicted_to_Love_(film),'Addicted to Love (film)',1997
http://en.wikipedia.org/wiki/The_Devil_and_Daniel_Webster_(film),'The Devil and Daniel Webster (film)',1941
http://en.wikipedia.org/wiki/Blade:_Trinity,'Blade: Trinity',2004
http://en.wikipedia.org/wiki/The_Derby_(1895_film),'The Derby (1895 film)',1895
http://en.wikipedia.org/wiki/The_Brothers_Grimm_(film),'The Brothers Grimm (film)',2005
http://en.wikipedia.org/wiki/Blue_Sky_Bones,'Blue Sky Bones',2014
http://en.wikipedia.org/wiki/Before_the_Fall,'Before the Fall',2004
http://en.wikipedia.org/wiki/Resurrecting_the_Champ,'Resurrecting the Champ',2007
http://en.wikipedia.org/wiki/Red_Corner,'Red Corner',1997
http://en.wikipedia.org/wiki/Sink_the_Bismarck!,'Sink the Bismarck!',1960
http://en.wikipedia.org/wiki/Levity_(film),'Levity (film)',2003
http://en.wikipedia.org/wiki/Joy_Ride_2:_Dead_Ahead,'Joy Ride 2: Dead Ahead',2008
http://en.wikipedia.org/wiki/Walker_(film),'Walker (film)',1987
http://en.wikipedia.org/wiki/Consenting_Adults_(1992_film),'Consenting Adults (1992 film)',1992
http://en.wikipedia.org/wiki/Hard_Men,'Hard Men',1996
http://en.wikipedia.org/wiki/The_Black_Pirate,'The Black Pirate',1926
http://en.wikipedia.org/wiki/Machuca,'Machuca',2004
http://en.wikipedia.org/wiki/Our_Friend_Martin,'Our Friend Martin',1999
http://en.wikipedia.org/wiki/Bwana_Devil,'Bwana Devil',1952
http://en.wikipedia.org/wiki/The_Wrong_Man,'The Wrong Man',1956
http://en.wikipedia.org/wiki/Bulldog_Drummond%27s_Revenge,'Bulldog Drummonds Revenge',1937
http://en.wikipedia.org/wiki/A_Ship_Comes_In,'A Ship Comes In',1928
http://en.wikipedia.org/wiki/Hail_the_Judge,'Hail the Judge',1994
http://en.wikipedia.org/wiki/The_Dunwich_Horror_(film),'The Dunwich Horror (film)',1970
http://en.wikipedia.org/wiki/Subconscious_Cruelty,'Subconscious Cruelty',2000
http://en.wikipedia.org/wiki/A_New_Leaf_(film),'A New Leaf (film)',1971
http://en.wikipedia.org/wiki/The_Commitments_(film),'The Commitments (film)',1991
http://en.wikipedia.org/wiki/Knight_%26_Day,'Knight & Day',2010
http://en.wikipedia.org/wiki/Rocketship_X-M,'Rocketship X-M',1950
http://en.wikipedia.org/wiki/Charlie_Bartlett,'Charlie Bartlett',2008
http://en.wikipedia.org/wiki/Ghost_In_The_Noonday_Sun,'Ghost In The Noonday Sun',1973
http://en.wikipedia.org/wiki/Dirty_Weekend_(1993_film),'Dirty Weekend (1993 film)',1993
http://en.wikipedia.org/wiki/Juarez_(1939_film),'Juarez (1939 film)',1939
http://en.wikipedia.org/wiki/Riding_Alone_for_Thousands_of_Miles,'Riding Alone for Thousands of Miles',2005
http://en.wikipedia.org/wiki/The_Medusa_Touch_(film),'The Medusa Touch (film)',1978
http://en.wikipedia.org/wiki/Paris_When_It_Sizzles,'Paris When It Sizzles',1964
http://en.wikipedia.org/wiki/Letter_with_Feather,'Letter with Feather',1954
http://en.wikipedia.org/wiki/Bride_and_Prejudice,'Bride and Prejudice',2004
http://en.wikipedia.org/wiki/The_Long_Ships_(film),'The Long Ships (film)',1964
http://en.wikipedia.org/wiki/Waterboys_(film),'Waterboys (film)',2001
http://en.wikipedia.org/wiki/Easy_A,'Easy A',2010
http://en.wikipedia.org/wiki/A_Raisin_in_the_Sun_(2008_film),'A Raisin in the Sun (2008 film)',2008
http://en.wikipedia.org/wiki/The_Mother_(film),'The Mother (film)',2003
http://en.wikipedia.org/wiki/Rogue_(2007_film),'Rogue (2007 film)',2007
http://en.wikipedia.org/wiki/Kya_Kehna,'Kya Kehna',2000
http://en.wikipedia.org/wiki/D%C5%8Dbutsu_no_Mori_(film),'Dōbutsu no Mori (film)',2006
http://en.wikipedia.org/wiki/Smiley_(1956_film),'Smiley (1956 film)',1956
http://en.wikipedia.org/wiki/Waikiki_Brothers,'Waikiki Brothers',2001
http://en.wikipedia.org/wiki/Alien_Hunter,'Alien Hunter',2003
http://en.wikipedia.org/wiki/And_Then_There_Were_None_(1945_film),'And Then There Were None (1945 film)',1945
http://en.wikipedia.org/wiki/Outrageous!,'Outrageous!',1977
http://en.wikipedia.org/wiki/Gung_Ho_(film),'Gung Ho (film)',1986
http://en.wikipedia.org/wiki/The_Life_Before_Her_Eyes_(film),'The Life Before Her Eyes (film)',2008
http://en.wikipedia.org/wiki/Thirteen_Days_(film),'Thirteen Days (film)',2000
http://en.wikipedia.org/wiki/A_Kind_of_Loving_(film),'A Kind of Loving (film)',1962
http://en.wikipedia.org/wiki/Shiri_(film),'Shiri (film)',1999
http://en.wikipedia.org/wiki/An_American_in_Paris_(film),'An American in Paris (film)',1951
http://en.wikipedia.org/wiki/The_Raid:_Redemption,'The Raid: Redemption',2011
http://en.wikipedia.org/wiki/Too_Late_the_Hero_(film),'Too Late the Hero (film)',1970
http://en.wikipedia.org/wiki/Jet_Li%27s_The_Enforcer,'Jet Lis The Enforcer',1995
http://en.wikipedia.org/wiki/Le_Voyage_dans_la_Lune,'Le Voyage dans la Lune',1902
http://en.wikipedia.org/wiki/So_I_Married_an_Axe_Murderer,'So I Married an Axe Murderer',1993
http://en.wikipedia.org/wiki/Wild_Hogs,'Wild Hogs',2007
http://en.wikipedia.org/wiki/La_jet%C3%A9e,'La jetée',1962
http://en.wikipedia.org/wiki/The_Furies_(1950_film),'The Furies (1950 film)',1950
http://en.wikipedia.org/wiki/Qerq,'Qerq',2007
http://en.wikipedia.org/wiki/Three_Days_of_the_Condor,'Three Days of the Condor',1975
http://en.wikipedia.org/wiki/Doc_Savage_(film),'Doc Savage (film)',1975
http://en.wikipedia.org/wiki/Spookley_the_Square_Pumpkin,'Spookley the Square Pumpkin',2004
http://en.wikipedia.org/wiki/Rooster_Cogburn_(film),'Rooster Cogburn (film)',1975
http://en.wikipedia.org/wiki/Moon_(film),'Moon (film)',2009
http://en.wikipedia.org/wiki/The_Apostle,'The Apostle',1997
http://en.wikipedia.org/wiki/The_Goddess_of_1967,'The Goddess of 1967',2002
