url,title,year
http://en.wikipedia.org/wiki/Lifeforce_(film),'Lifeforce (film)',1985
http://en.wikipedia.org/wiki/Pat_and_Mike,'Pat and Mike',1952
http://en.wikipedia.org/wiki/The_Tales_of_Hoffmann_(film),'The Tales of Hoffmann (film)',1951
http://en.wikipedia.org/wiki/All_or_Nothing_(film),'All or Nothing (film)',2002
http://en.wikipedia.org/wiki/Malli_(film),'Malli (film)',1998
http://en.wikipedia.org/wiki/The_Skydivers,'The Skydivers',1963
http://en.wikipedia.org/wiki/Horse_Feathers,'Horse Feathers',1932
http://en.wikipedia.org/wiki/Race_Riot,'Race Riot',1929
http://en.wikipedia.org/wiki/Agatha_(film),'Agatha (film)',1979
http://en.wikipedia.org/wiki/Returner,'Returner',2002
http://en.wikipedia.org/wiki/Pubescence_(film),'Pubescence (film)',2011
http://en.wikipedia.org/wiki/Ma-Mha,'Ma-Mha',2007
http://en.wikipedia.org/wiki/Cold_Showers,'Cold Showers',2005
http://en.wikipedia.org/wiki/Aashiq_Banaya_Aapne,'Aashiq Banaya Aapne',2005
http://en.wikipedia.org/wiki/Stake_Land,'Stake Land',2011
http://en.wikipedia.org/wiki/Things_We_Lost_in_the_Fire_(film),'Things We Lost in the Fire (film)',2007
http://en.wikipedia.org/wiki/Requiem_for_a_Heavyweight,'Requiem for a Heavyweight',1962
http://en.wikipedia.org/wiki/Century_Hotel,'Century Hotel',2001
http://en.wikipedia.org/wiki/Evil_Alien_Conquerors,'Evil Alien Conquerors',2002
http://en.wikipedia.org/wiki/Juliet_of_the_Spirits,'Juliet of the Spirits',1965
http://en.wikipedia.org/wiki/Battles_Without_Honor_and_Humanity,'Battles Without Honor and Humanity',1973
http://en.wikipedia.org/wiki/The_Fall_(2008_film),'The Fall (2008 film)',2008
http://en.wikipedia.org/wiki/Street_Trash_(1987_film),'Street Trash (1987 film)',1987
http://en.wikipedia.org/wiki/Down_and_Out_in_Beverly_Hills,'Down and Out in Beverly Hills',1986
http://en.wikipedia.org/wiki/Magical_Maestro,'Magical Maestro',1952
http://en.wikipedia.org/wiki/Out_of_the_Wilderness,'Out of the Wilderness',2001
http://en.wikipedia.org/wiki/Gorgeous_(film),'Gorgeous (film)',1999
http://en.wikipedia.org/wiki/The_Lives_of_Others,'The Lives of Others',2006
http://en.wikipedia.org/wiki/The_Secret_of_My_Success_(1987_film),'The Secret of My Success (1987 film)',1987
http://en.wikipedia.org/wiki/...tick...tick...tick...,'...tick...tick...tick...',1970
http://en.wikipedia.org/wiki/Johnny_Guitar,'Johnny Guitar',1954
