title,url,release date,release year,budget,revenue,director,actor,distributor,genre
'Star Trek Into Darkness',http://en.wikipedia.org/wiki/Star_Trek_Into_Darkness,2013-04-23,2013,185000000,467381584,J. J. Abrams;http://en.wikipedia.org/wiki/J._J._Abrams,John Cho;http://en.wikipedia.org/wiki/John_Cho|Benedict Cumberbatch;http://en.wikipedia.org/wiki/Benedict_Cumberbatch|Alice Eve;http://en.wikipedia.org/wiki/Alice_Eve|Bruce Greenwood;http://en.wikipedia.org/wiki/Bruce_Greenwood|Simon Pegg;http://en.wikipedia.org/wiki/Simon_Pegg|Chris Pine;http://en.wikipedia.org/wiki/Chris_Pine|Zachary Quinto;http://en.wikipedia.org/wiki/Zachary_Quinto|Zoe Saldana;http://en.wikipedia.org/wiki/Zoe_Saldana|Karl Urban;http://en.wikipedia.org/wiki/Karl_Urban|Peter Weller;http://en.wikipedia.org/wiki/Peter_Weller|Anton Yelchin;http://en.wikipedia.org/wiki/Anton_Yelchin,Paramount Pictures;http://en.wikipedia.org/wiki/Paramount_Pictures,science|fiction|action
'Start the Revolution Without Me',http://en.wikipedia.org/wiki/Start_the_Revolution_Without_Me,null,1970,null,null,Bud Yorkin;http://en.wikipedia.org/wiki/Bud_Yorkin,Gene Wilder;http://en.wikipedia.org/wiki/Gene_Wilder|Donald Sutherland;http://en.wikipedia.org/wiki/Donald_Sutherland|Hugh Griffith;http://en.wikipedia.org/wiki/Hugh_Griffith|Jack MacGowran;http://en.wikipedia.org/wiki/Jack_MacGowran|Billie Whitelaw;http://en.wikipedia.org/wiki/Billie_Whitelaw|Orson Welles;http://en.wikipedia.org/wiki/Orson_Welles|Victor Spinetti;http://en.wikipedia.org/wiki/Victor_Spinetti|Ewa Aulin;http://en.wikipedia.org/wiki/Ewa_Aulin,Warner Bros.;http://en.wikipedia.org/wiki/Warner_Bros.,null
'Startup.com',http://en.wikipedia.org/wiki/Startup.com,2001-01-21,2001,null,null,Jehane Noujaim;http://en.wikipedia.org/wiki/Jehane_Noujaim|Chris Hegedus;http://en.wikipedia.org/wiki/Chris_Hegedus,null,Artisan Entertainment;http://en.wikipedia.org/wiki/Artisan_Entertainment,null
'Star Wars Holiday Special',http://en.wikipedia.org/wiki/Star_Wars_Holiday_Special,null,1978,null,null,Steve Binder;http://en.wikipedia.org/wiki/Steve_Binder|David Acomba;http://en.wikipedia.org/wiki/David_Acomba,Harrison Ford;http://en.wikipedia.org/wiki/Harrison_Ford|Peter Mayhew (actor);http://en.wikipedia.org/wiki/Peter_Mayhew_(actor)|Mark Hamill;http://en.wikipedia.org/wiki/Mark_Hamill|Carrie Fisher;http://en.wikipedia.org/wiki/Carrie_Fisher|Anthony Daniels;http://en.wikipedia.org/wiki/Anthony_Daniels|Kenny Baker (English actor);http://en.wikipedia.org/wiki/Kenny_Baker_(English_actor)|Bea Arthur;http://en.wikipedia.org/wiki/Bea_Arthur|Don Francks;http://en.wikipedia.org/wiki/Don_Francks|Harvey Korman;http://en.wikipedia.org/wiki/Harvey_Korman|James Earl Jones;http://en.wikipedia.org/wiki/James_Earl_Jones,null,null
'Star Wars',http://en.wikipedia.org/wiki/Star_Wars,null,null,null,null,null;null,null;null,null;null,null
'Star Wars Kid',http://en.wikipedia.org/wiki/Star_Wars_Kid,null,2002,null,null,null;null,null;null,null;null,null
'Zombiegeddon',http://en.wikipedia.org/wiki/Zombiegeddon,2003-07-12,2003,10000,null,Chris Watson;null,Felissa Rose;http://en.wikipedia.org/wiki/Felissa_Rose|Edwin Neal;http://en.wikipedia.org/wiki/Edwin_Neal|Linnea Quigley;http://en.wikipedia.org/wiki/Linnea_Quigley|Tom Savini;http://en.wikipedia.org/wiki/Tom_Savini|Uwe Boll;http://en.wikipedia.org/wiki/Uwe_Boll,Troma Entertainment;http://en.wikipedia.org/wiki/Troma_Entertainment,null
'Zombie Genocide',http://en.wikipedia.org/wiki/Zombie_Genocide,1993,1993,null,null,Darryl Sloan (page does not exist);http://en.wikipedia.org/w/index.php?title=Darryl_Sloan&action=edit&redlink=1|Khris Carville (page does not exist);http://en.wikipedia.org/w/index.php?title=Khris_Carville&action=edit&redlink=1,Darryl Sloan ;http://en.wikipedia.org/w/index.php?title=Darryl_Sloan&action=edit&redlink=1|Paul Barton (actor) ;http://en.wikipedia.org/w/index.php?title=Paul_Barton_(actor)&action=edit&redlink=1,Midnight Pictures;null,null
'Zombie High',http://en.wikipedia.org/wiki/Zombie_High,1987-10-02,1987,null,null,Ron Link (director);http://en.wikipedia.org/wiki/Ron_Link_(director),Virginia Madsen;http://en.wikipedia.org/wiki/Virginia_Madsen,Palisades Entertainment Group;null,null
'Zombie Holocaust',http://en.wikipedia.org/wiki/Zombie_Holocaust,1980-05-07,1979,null,null,Marino Girolami;http://en.wikipedia.org/wiki/Marino_Girolami,Ian McCulloch (actor);http://en.wikipedia.org/wiki/Ian_McCulloch_(actor)|Donald OBrien (actor);http://en.wikipedia.org/wiki/Donald_O%27Brien_(actor),null,null
'Zombie Honeymoon',http://en.wikipedia.org/wiki/Zombie_Honeymoon,2004-10-23,2004,null,null,David Gebroe;null,Tracy Coogan;http://en.wikipedia.org/wiki/Tracy_Coogan|Tonya Cornelisse;http://en.wikipedia.org/wiki/Tonya_Cornelisse,Hooligan Pictures (US);null,independent|horror
'Zombie Lake',http://en.wikipedia.org/wiki/Zombie_Lake,1981-05-13,1981,null,null,Jean Rollin;http://en.wikipedia.org/wiki/Jean_Rollin,Howard Vernon;http://en.wikipedia.org/wiki/Howard_Vernon,Eurociné;null,horror
'Zombieland',http://en.wikipedia.org/wiki/Zombieland,2009-10-02,2009,2360000,102400000,Ruben Fleischer;http://en.wikipedia.org/wiki/Ruben_Fleischer,Woody Harrelson;http://en.wikipedia.org/wiki/Woody_Harrelson|Jesse Eisenberg;http://en.wikipedia.org/wiki/Jesse_Eisenberg|Emma Stone;http://en.wikipedia.org/wiki/Emma_Stone|Abigail Breslin;http://en.wikipedia.org/wiki/Abigail_Breslin,Columbia Pictures;http://en.wikipedia.org/wiki/Columbia_Pictures,comedy
'Zombie Nation (film)',http://en.wikipedia.org/wiki/Zombie_Nation_(film),null,2004,1500,null,Ulli Lommel;http://en.wikipedia.org/wiki/Ulli_Lommel,Brandon Dean;null|Phil Lander;null|Karen Maxwell;null|Naidra Dawn Thomson;null|Victoria Ullmann;null,null,independent|horror
'Zombie Nightmare',http://en.wikipedia.org/wiki/Zombie_Nightmare,1986,1986,180000,null,Jack Bravman;null,Adam West;http://en.wikipedia.org/wiki/Adam_West|Jon Mikl Thor;http://en.wikipedia.org/wiki/Jon_Mikl_Thor|Tia Carrere;http://en.wikipedia.org/wiki/Tia_Carrere,New World Pictures;http://en.wikipedia.org/wiki/New_World_Pictures,null
'Zombies of the Stratosphere',http://en.wikipedia.org/wiki/Zombies_of_the_Stratosphere,1952-07-16,1952,176357,null,Fred C. Brannon;http://en.wikipedia.org/wiki/Fred_C._Brannon,Judd Holdren;http://en.wikipedia.org/wiki/Judd_Holdren|Aline Towne;http://en.wikipedia.org/wiki/Aline_Towne|Wilson Wood;http://en.wikipedia.org/wiki/Wilson_Wood|Lane Bradford;http://en.wikipedia.org/wiki/Lane_Bradford|John Crawford (actor);http://en.wikipedia.org/wiki/John_Crawford_(actor)|Ray Boyle;http://en.wikipedia.org/wiki/Ray_Boyle|Leonard Nimoy;http://en.wikipedia.org/wiki/Leonard_Nimoy,Republic Pictures;http://en.wikipedia.org/wiki/Republic_Pictures,null
'Zombie Strippers',http://en.wikipedia.org/wiki/Zombie_Strippers,2008-02-23,2008,null,null,Jay Lee;null,Robert Englund;http://en.wikipedia.org/wiki/Robert_Englund|Jenna Jameson;http://en.wikipedia.org/wiki/Jenna_Jameson|Penny Drake;http://en.wikipedia.org/wiki/Penny_Drake|Roxy Saint;http://en.wikipedia.org/wiki/Roxy_Saint|Tito Ortiz;http://en.wikipedia.org/wiki/Tito_Ortiz,Triumph Films;http://en.wikipedia.org/wiki/Triumph_Films,comedy
'Zero Charisma',http://en.wikipedia.org/wiki/Zero_Charisma,2013-10-11,2013,null,null,Katie Graham;null|Andrew Matthews;null,Cyndi Williams;http://en.wikipedia.org/wiki/Cyndi_Williams,Tribeca Film Festival;http://en.wikipedia.org/wiki/Tribeca_Film_Festival|Nerdist Industries;http://en.wikipedia.org/wiki/Nerdist_Industries,null
'Zero Dark Thirty',http://en.wikipedia.org/wiki/Zero_Dark_Thirty,2012-12-19,2012,40000000,138800000,Kathryn Bigelow;http://en.wikipedia.org/wiki/Kathryn_Bigelow,Jessica Chastain;http://en.wikipedia.org/wiki/Jessica_Chastain|Jason Clarke (actor);http://en.wikipedia.org/wiki/Jason_Clarke_(actor)|Joel Edgerton;http://en.wikipedia.org/wiki/Joel_Edgerton|Jennifer Ehle;http://en.wikipedia.org/wiki/Jennifer_Ehle|Mark Strong;http://en.wikipedia.org/wiki/Mark_Strong|Kyle Chandler;http://en.wikipedia.org/wiki/Kyle_Chandler|Édgar Ramírez;http://en.wikipedia.org/wiki/%C3%89dgar_Ram%C3%ADrez|James Gandolfini;http://en.wikipedia.org/wiki/James_Gandolfini,Columbia Pictures;http://en.wikipedia.org/wiki/Columbia_Pictures|Universal Pictures;http://en.wikipedia.org/wiki/Universal_Pictures,action|thriller|war
'Zero Day (film)',http://en.wikipedia.org/wiki/Zero_Day_(film),2003-09-03,2003,20000,8466,Ben Coccio;http://en.wikipedia.org/wiki/Ben_Coccio,Andre Keuck ;http://en.wikipedia.org/w/index.php?title=Andre_Keuck&action=edit&redlink=1|Cal Robertson;http://en.wikipedia.org/wiki/Cal_Robertson,Avatar Films;null,null
'Zero Effect',http://en.wikipedia.org/wiki/Zero_Effect,null,1998,5000000,2087471,Jake Kasdan;http://en.wikipedia.org/wiki/Jake_Kasdan,Bill Pullman;http://en.wikipedia.org/wiki/Bill_Pullman|Ben Stiller;http://en.wikipedia.org/wiki/Ben_Stiller|Ryan ONeal;http://en.wikipedia.org/wiki/Ryan_O%27Neal|Kim Dickens;http://en.wikipedia.org/wiki/Kim_Dickens|Angela Featherstone;http://en.wikipedia.org/wiki/Angela_Featherstone,Columbia Pictures;http://en.wikipedia.org/wiki/Columbia_Pictures,mystery
'Zero for Conduct',http://en.wikipedia.org/wiki/Zero_for_Conduct,null,1933,null,null,Jean Vigo;http://en.wikipedia.org/wiki/Jean_Vigo,Jean Dasté;http://en.wikipedia.org/wiki/Jean_Dast%C3%A9,Gaumont Film Company;http://en.wikipedia.org/wiki/Gaumont_Film_Company,null
'Zero Hour!',http://en.wikipedia.org/wiki/Zero_Hour!,1957-11-13,1957,400764.,null,Hall Bartlett;http://en.wikipedia.org/wiki/Hall_Bartlett,Dana Andrews;http://en.wikipedia.org/wiki/Dana_Andrews|Linda Darnell;http://en.wikipedia.org/wiki/Linda_Darnell|Sterling Hayden;http://en.wikipedia.org/wiki/Sterling_Hayden,Paramount Pictures;null,drama
'Zero Patience',http://en.wikipedia.org/wiki/Zero_Patience,null,1993,null,null,John Greyson;http://en.wikipedia.org/wiki/John_Greyson,John Robinson (Canadian actor);http://en.wikipedia.org/wiki/John_Robinson_(Canadian_actor)|Normand Fauteux;http://en.wikipedia.org/wiki/Normand_Fauteux|Dianne Heatherington;http://en.wikipedia.org/wiki/Dianne_Heatherington|Richardo Keens-Douglas ;http://en.wikipedia.org/w/index.php?title=Richardo_Keens-Douglas&action=edit&redlink=1|Michael Callen;http://en.wikipedia.org/wiki/Michael_Callen|Marla Lukofsky;http://en.wikipedia.org/wiki/Marla_Lukofsky|Von Flores;http://en.wikipedia.org/wiki/Von_Flores,Strand Releasing;http://en.wikipedia.org/wiki/Strand_Releasing,musical
'Zerophilia',http://en.wikipedia.org/wiki/Zerophilia,2005-10-26,2005,null,null,Martin Curland;null,Taylor Handley;http://en.wikipedia.org/wiki/Taylor_Handley|Gina Bellman;http://en.wikipedia.org/wiki/Gina_Bellman|Kyle Schmid;http://en.wikipedia.org/wiki/Kyle_Schmid|Kelly LeBrock;http://en.wikipedia.org/wiki/Kelly_LeBrock,TLA Releasing;http://en.wikipedia.org/wiki/TLA_Releasing|Allumination Filmworks;http://en.wikipedia.org/wiki/Allumination_Filmworks,romantic|comedy|fiction
'Zero Point Five Love',http://en.wikipedia.org/wiki/Zero_Point_Five_Love,2014-09-12,2014,null,null,GengXiao;null,null,null,null
'Zero Tolerance (1999 film)',http://en.wikipedia.org/wiki/Zero_Tolerance_(1999_film),1999-10-29,1999,null,null,Anders Nilsson (director);http://en.wikipedia.org/wiki/Anders_Nilsson_(director),Jakob Eklund;http://en.wikipedia.org/wiki/Jakob_Eklund|Peter Andersson (actor);http://en.wikipedia.org/wiki/Peter_Andersson_(actor)|Marie Richardson;http://en.wikipedia.org/wiki/Marie_Richardson,Sonet Film;http://en.wikipedia.org/wiki/Sonet_Film,action
'Zero Tolerance',http://en.wikipedia.org/wiki/Zero_Tolerance,null,1994,null,null,null;null,null;null,null;null,null
