Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
The Duchess,http://www.boxofficemojo.com/movies/?id=duchess.htm,9/19/2008,PG-13,110,3304841,1207,13848978,29457347,43306325
The Duchess of Langeais,http://www.boxofficemojo.com/movies/?id=duchessoflangeais.htm,2/22/2008,Unrated,130,22251,11,282749,700046,982795
Duck,http://www.boxofficemojo.com/movies/?id=duck.htm,5/11/2007,PG-13,98,null,null,null,null,null
Duck Season,http://www.boxofficemojo.com/movies/?id=duckseason.htm,3/10/2006,R,87,24658,24,147551,7859,155410
Duck Soup,http://www.boxofficemojo.com/movies/?id=ducksoup.htm,11/17/1933,Unrated,68,null,null,null,null,null
Duck Tales:The Movie,http://www.boxofficemojo.com/movies/?id=ducktalesthemovie.htm,8/3/1990,G,74,3870366,1558,18115724,null,null
Duck You Sucker,http://www.boxofficemojo.com/movies/?id=duckyousucker.htm,6/30/1972,Unrated,120,null,null,null,null,null
Dude Where's My Car?,http://www.boxofficemojo.com/movies/?id=dudewheresmycar.htm,12/15/2000,PG-13,83,13845914,2100,46729800,26450923,73180723
Dudley Do-Right,http://www.boxofficemojo.com/movies/?id=dudleydo-right.htm,8/27/1999,PG,83,3018345,1855,9974410,null,null
Due Date,http://www.boxofficemojo.com/movies/?id=duedate.htm,11/5/2010,R,95,32689406,3365,100539043,111241781,211780824
Duel in the Sun,http://www.boxofficemojo.com/movies/?id=duelinthesun.htm,12/31/1946,Unrated,138,null,null,20408163,null,null
Duet for One,http://www.boxofficemojo.com/movies/?id=duetforone.htm,12/25/1986,R,107,7149,1,8736,null,null
Duets,http://www.boxofficemojo.com/movies/?id=duets.htm,9/15/2000,R,112,2002588,583,4739023,1881219,6620242
The DUFF,http://www.boxofficemojo.com/movies/?id=duff.htm,2/20/2015,PG-13,N/A,10809149,2622,33633557,n/a,33633557
The Duke of Burgundy,http://www.boxofficemojo.com/movies/?id=dukeofburgundy.htm,1/23/2015,Unrated,104,11902,10,56282,n/a,56282
The Dukes,http://www.boxofficemojo.com/movies/?id=dukes08.htm,11/14/2008,PG-13,94,6067,11,26875,null,null
The Dukes of Hazzard,http://www.boxofficemojo.com/movies/?id=dukesofhazzard.htm,8/5/2005,PG-13,106,30675314,3785,80270227,30799288,111069515
Dum,http://www.boxofficemojo.com/movies/?id=dum.htm,1/24/2003,Unrated,N/A,46700,18,101000,null,null
Dum Maaro Dum,http://www.boxofficemojo.com/movies/?id=dummaarodum.htm,4/22/2011,R,130,327523,101,564489,n/a,564489
Duma,http://www.boxofficemojo.com/movies/?id=duma.htm,4/22/2005,PG,101,null,42,870067,124723,994790
Dumb and Dumber,http://www.boxofficemojo.com/movies/?id=dumbanddumber.htm,12/16/1994,PG-13,101,16363442,2565,127175374,120100000,247275374
Dumb and Dumber To,http://www.boxofficemojo.com/movies/?id=dumberto.htm,11/14/2014,PG-13,110,36111775,3188,86208010,83629000,169837010
Dumb and Dumberer:When Harry Met Lloyd,http://www.boxofficemojo.com/movies/?id=dumbanddumberer.htm,6/13/2003,PG-13,96,10845064,2609,26276465,12991050,39267515
Dumbo,http://www.boxofficemojo.com/movies/?id=dumbo.htm,10/23/1941,G,64,null,null,null,null,null
