http://en.wikipedia.org/wiki/Star_80,Bob Fosse:http://en.wikipedia.org/wiki/Bob_Fosse,Mariel Hemingway:http://en.wikipedia.org/wiki/Mariel_Hemingway|Eric Roberts:http://en.wikipedia.org/wiki/Eric_Roberts|Cliff Robertson:http://en.wikipedia.org/wiki/Cliff_Robertson|Carroll Baker:http://en.wikipedia.org/wiki/Carroll_Baker|Roger Rees:http://en.wikipedia.org/wiki/Roger_Rees|David Clennon:http://en.wikipedia.org/wiki/David_Clennon
http://en.wikipedia.org/wiki/Starcrash,Luigi Cozzi:http://en.wikipedia.org/wiki/Luigi_Cozzi,Marjoe Gortner:http://en.wikipedia.org/wiki/Marjoe_Gortner|Caroline Munro:http://en.wikipedia.org/wiki/Caroline_Munro|Judd Hamilton (page does not exist):http://en.wikipedia.org/w/index.php?title=Judd_Hamilton&action=edit&redlink=1|Robert Tessier:http://en.wikipedia.org/wiki/Robert_Tessier|Christopher Plummer:http://en.wikipedia.org/wiki/Christopher_Plummer|David Hasselhoff:http://en.wikipedia.org/wiki/David_Hasselhoff|Joe Spinell:http://en.wikipedia.org/wiki/Joe_Spinell
http://en.wikipedia.org/wiki/Stardom,Denys Arcand:http://en.wikipedia.org/wiki/Denys_Arcand,Jessica Paré:http://en.wikipedia.org/wiki/Jessica_Par%C3%A9|Dan Aykroyd:http://en.wikipedia.org/wiki/Dan_Aykroyd
http://en.wikipedia.org/wiki/Stardust_Memories,Woody Allen:http://en.wikipedia.org/wiki/Woody_Allen,Charlotte Rampling:http://en.wikipedia.org/wiki/Charlotte_Rampling|Jessica Harper:http://en.wikipedia.org/wiki/Jessica_Harper|Marie-Christine Barrault:http://en.wikipedia.org/wiki/Marie-Christine_Barrault|Tony Roberts (actor):http://en.wikipedia.org/wiki/Tony_Roberts_(actor)
http://en.wikipedia.org/wiki/Star!_(film),Robert Wise:http://en.wikipedia.org/wiki/Robert_Wise,Julie Andrews:http://en.wikipedia.org/wiki/Julie_Andrews|Richard Crenna:http://en.wikipedia.org/wiki/Richard_Crenna|Daniel Massey (actor):http://en.wikipedia.org/wiki/Daniel_Massey_(actor)
http://en.wikipedia.org/wiki/Stargate_(film),Roland Emmerich:http://en.wikipedia.org/wiki/Roland_Emmerich,Kurt Russell:http://en.wikipedia.org/wiki/Kurt_Russell|James Spader:http://en.wikipedia.org/wiki/James_Spader|Jaye Davidson:http://en.wikipedia.org/wiki/Jaye_Davidson|Viveca Lindfors:http://en.wikipedia.org/wiki/Viveca_Lindfors
http://en.wikipedia.org/wiki/Starkweather_(film),null:null,null:null
http://en.wikipedia.org/wiki/Starman_(film),John Carpenter:http://en.wikipedia.org/wiki/John_Carpenter,Jeff Bridges:http://en.wikipedia.org/wiki/Jeff_Bridges|Karen Allen:http://en.wikipedia.org/wiki/Karen_Allen|Charles Martin Smith:http://en.wikipedia.org/wiki/Charles_Martin_Smith|Richard Jaeckel:http://en.wikipedia.org/wiki/Richard_Jaeckel
http://en.wikipedia.org/wiki/Starship_Troopers_(film),Paul Verhoeven:http://en.wikipedia.org/wiki/Paul_Verhoeven,Casper Van Dien:http://en.wikipedia.org/wiki/Casper_Van_Dien|Dina Meyer:http://en.wikipedia.org/wiki/Dina_Meyer|Denise Richards:http://en.wikipedia.org/wiki/Denise_Richards|Jake Busey:http://en.wikipedia.org/wiki/Jake_Busey|Neil Patrick Harris:http://en.wikipedia.org/wiki/Neil_Patrick_Harris|Patrick Muldoon:http://en.wikipedia.org/wiki/Patrick_Muldoon|Clancy Brown:http://en.wikipedia.org/wiki/Clancy_Brown|Michael Ironside:http://en.wikipedia.org/wiki/Michael_Ironside
http://en.wikipedia.org/wiki/Starsky_%26_Hutch_(film),Todd Phillips:http://en.wikipedia.org/wiki/Todd_Phillips,Ben Stiller:http://en.wikipedia.org/wiki/Ben_Stiller|Owen Wilson:http://en.wikipedia.org/wiki/Owen_Wilson|Vince Vaughn:http://en.wikipedia.org/wiki/Vince_Vaughn|Snoop Dogg:http://en.wikipedia.org/wiki/Snoop_Dogg
